,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0661118013094442,0,0.0891295139020256,0,0,0,0,0.012862990751012,0,0.0264718944884238,0,0,0.0135863325644807,0.135079581666356,0,0,0,0,0
ETH,0,0,0.0846524570775341,0.152938135483146,0.0339710371524545,0,0,0.0546914642746422,0.0792649838678832,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0903907676531152,0.0705421288621142,0,0,0.0892096139582646,0.0197758702408776,0,0,0,0,0,0.25927686916711,0,0,0,0,0
BCH,0,0,0,0,0.124363263292635,0,0.13380101976081,0.0472482895103322,0.344030446275172,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.278572828754697,0.0444909426656196,0.280286493140751,0.00010050658593644,0,0,0,0,0,0,0,0,0
LTC,0,0,0.123505804642425,0.186035116947484,0.0460776956067485,0,0,0,0.0297580667090072,0.0184201046418668,0,0,0,0,0.0904268300910254,0,0,0,0,0
XLM,0,0,0,0,0.23482323910665,0,0,0.0225925687127203,0.0180065805301943,0.0000000000000000000542101086242752,0.173724080687134,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.188359206385787,0.102831455432037,0,0.184098518162556,0,0.0484722247413342,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.104455269232065,0.325973845144729,0,0,0.0162855568120833,0.248842449150746,0,0,-0.00000000000000000693889390390723,0.0469594290408646,0,0,0,0,0,0,0,0
TRX,0,0,0,0.00576575111228735,0.210036925249391,0,0.316719191814779,0.0462390349597415,0,0,0.0939231481347238,0,0.109479031539006,0,0,0,0,0,0,0
NEO,0,0,0,0.0657925789291719,0.138221673552244,0,0.0215506494128537,0,0.0133452922310097,0,0,0,0,0,0.0717932365804949,0,0,0,0,0
DASH,0,0,0,0.2574447094167,0,0,0.0803013508200013,0,0.0463405571769425,0,0.029148166161521,0,0.119911735719149,0,0,0,0,0,0,0
XMR,0,0,0,0.210113516753636,0.110558000821429,0,0.0881904104455162,0,0.0303551417588688,0.0758940044880936,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0388942212516091,0,0,0,0.167194610904282,0.0869702429661778,0,0,0,0,0,0.0889495588037079,0,0,0,0,0
XEM,0,0.086344735965852,-0.00000000000000000693889390390723,0.121155822435916,0,0,0.0983196582795318,0,0.0487245700205418,0,0.286853363493027,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.000000000000000302709246557953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953094676848542
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00519475830189367,0,0.0120202615466175,0,0,0,0,0,-0.0116135844542088,0,0,0.00102037991646972,0,0,0.0273735254564517,0,0,0.00404289435518994
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000377106296881777,0,0,0,0,0,-0.0653567067266449
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
