,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.114491880529104,0,0,0,0,0.0321106796335458,0,0,0.0904953625341265,0,0.0989226355408661,0,0,0,0,0,0
ETH,0,0,0,0.256777608746188,0,0,0,0,0.0541664429063531,0.144156280613561,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0948289630698056,0.0828145887906638,0,0,0,0.0984734031995262,0.119396013431997,0,0,0,0.160887089347827,0,0,0,0,0,0
BCH,0,0,0,0,0.342857335378177,0,0,0,0.147583891581755,0,0,0,0,0.0795320477135447,0.0975442520958753,0,0,0,0,0
EOS,0,0,0,0.117485616117355,0,0,0.334400176031456,0,0,0.131250147982019,0,0,0,0,0,0,0,0,0,-0.0640579197969187
LTC,0,0,0,0.304861305089375,0.0220291619115918,0,0,0,0.0503172234315864,0,0,0,0,0.117598670350344,0.0357737572176487,0,0,0,0,0
ADA,0,0,0,0.195605199545933,0.115222155299208,0,0,0.0754031972541826,0.0709475616391864,0.106081388682216,0,0,0,0.0716639116880192,0,0,0,0,0,0
XLM,0,0,0,0.0432374305565308,0.0986231406650975,0,0.0934587765076638,0,0.106654103937449,0.102829151142908,0,0,0,0.243601757770877,0,0,0,0,0,0
MIOTA,0,0,0,0,0.0804588700935751,0,0.34872490039174,0.146879621351741,0,0,0.082406423472489,0,0,0.106148524746082,0,0,0,0,0,0
TRX,0,0,0,0,0.265500002983406,0,0.19630051748205,0.10476448650984,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0765567680124501,0.105912121916401,0,0.00409036170898117,0,0.0112113261868401,0.0286850229564016,0,0,0,0.234612556215687,0,0,0,0,0,0
XMR,0,0,0,0.046447958667491,0.122884365384273,0,0,0,0.0105923048574973,0.0180281011656025,0,0,0,0.1531583259816,0,0,0,0,0,0
DASH,0,0,0,0.250771764269968,0,0,0,0.0825111011946402,0.01855574604795,0,0,0,0,0.0954557962017861,0.0713920129608505,0,0,0,0,0
XEM,0,0,0,0.183132492539384,0.010582184499417,0,0,0,0.121491766534214,0,0.376804401648493,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.240988788312648,0,0,0,0,0.112947516569334,0,0,0.166615930799346,0,0.0569335240813119,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0632157247291419
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497080333664991
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
