,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,-0.0966626410011288,0,0.423386758574164,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.0167458583166057,0,0.0229599100162853,0.00000000000000000173472347597681,0.156032548145932,0,0,0.331255257979042,0.0282408713243101,0,0,0,0,0,0,0,0
XEM,0,-0.0561972865524138,0,0,-0.122077777299069,0,0,0,0.42864779701379,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0453868238449,0,0.160625390580881,0,-0.079841153595314,0,0,0,0,0,0
ETC,0,-0.0218427499244403,0.404233103340133,0.0405177396592098,0.0671413618350549,0,0,-0.00999990167490488,0,0,0.0646699411721503,0,0,0,0,0,0,0
DASH,0,-0.0776122542954595,0,0,0.00971428749159274,0,0,0.037074349668961,0.234771606403165,0,0.180135892154672,-0.0262295186822748,0,0,0,0,0,0.0123381448813976
XLM,0,0.392330710908377,0,0,0.0438579063842919,0.0666525847893644,0,0,0,0.163233913835831,0,0.0377845478885489,0,0,0,0,0,0
XMR,0,0,0.170078071538236,0.166299810539823,0.00612595589572977,0,0,0.0227799749493288,0,0,0,0,0.0464201294456241,0,0,0,0,0.0228391002775963
DOGE,0,0.17302167748524,0.0328913780591647,0,0.094786012078596,0,0,0.100265181012933,0,0,0,0,0.061369890263156,0,0,0,0,0
ZEC,0,0.0123319138197985,0,0.0337637753977437,0,0,0.10508165451301,0.00281979865310482,0,0,0,0,0.217281625448381,0,0,0,0,0
DGB,0,-0.2338554004605,0,0.0675436613435098,0,0,-0.107567729919037,0.422745843358389,0,0.0953791880954865,0,0,0,0,0,0,0,0
NEO,0,-0.0137814100101861,0,0.00892044617767497,0,0,0,0,0,0.0557571705960548,0.103488582232953,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.00572439700181604,0,0.0134743148062796,0,0,0,0,0,0,0,0,0,-0.0791634218619949
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,-0.00000000000000000000000165436122510606,0,0,0,0,0,0.000000256916993501547,0,0,0,0.000000573316156323671,0,0,0,0,0,-0.0114578117714669
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
