,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0838252506664928,0.0338438281386968,0,0,0,0,0,0,0.0192907186837016,0,0.0160080661568119,0,0,0,0,0,0,0,0
ETH,0,0,0.140197097033662,0.0506485261958031,0,0,0,0.116328851961305,0,0.0654329643298825,0,0,0,0,0,0,0,0,0,0
XRP,0,0.263830358161846,0,0,0.198155871069599,0,0,0.247461691596603,0,0,0,0.172182885794405,0,0,0,0,0,0,0,0
BCH,0,0.291973547331901,0.0353818371772621,0,0,0,0.0534127900958146,0.0575891678225888,0,0.0401728159199132,0.162574551433922,0.157582263368236,0,0,0,0,0,0,0,0
XLM,0,0,0.214073390619263,0,0,0,0,0.342800229762485,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.135912617814808,0.0933631528786155,0,0,0,0.160978487410566,0,0.0486033142709194,0,0.0378059916329378,0,0,0,0,0,0,0,-0.00617870535043331
LTC,0,0.0456385241740429,0.0491331783364332,0.202788422263493,0,0,0,0.0511730819507051,0,0.000000000000000000433680868994202,0,0.177587411030375,0,0,0,0,0,0,0,0
ADA,0,0,0.171409823985186,0.0897639267380019,0.286491490405837,0,0,0,0,0.0532795874501063,0,0,0,0,0,0,0,0,0,0
XMR,0,0.104065065198093,0.109438489104419,0.0132224482152158,0.0183143881808847,0,0,0,0,0,0,0.0790228233649875,0,0,0,0,0,0,0,0
TRX,0,0.314310065271506,0.0265271711067723,0,0,0.0333557714214832,0,0.262211051478309,0,0,0,0.135933673256833,0,0,0,0,0,0,0,0
DASH,0,0.179653239794542,0.04804076804549,0.0575170860803904,0,0.12564899378024,0,0.0204482422159034,0,0.00498659929875394,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0915239825042367,0.108552211502227,-0.000000000000000000867361737988404,0,0.272569411431645,0,0.0265084502700909,0.101527972534291,0,0,0,0.138732605480275,0,0,0,0,0,0
BNB,0,0.0504338579028921,0.0357970698356491,0.00196154413109849,0,0,0,0.00347222396085831,0,0.126876305914797,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.00360815743504865,0,0,0,0.237142705799439,0,0,0,0.226945648721873,0,0,0,0,0,0,0,0.00000000000000000010842021724855
ETC,0,0,0.0491565356849884,0,0.0322709226961033,0,0,0.159569600868838,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270004233211024
CVIX.INDEX,0,0,0.00135099388210024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192686709537061
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808566877900953
VIX.INDEX,0,0,0,0,0,0,0,0,0,0.00000037516713972288,0,0,0,-0.00000069467533941885,0,-0.361874759012738,0.0712416856534569,0,-3.45612424717764,0
