,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.118588995075744,0.103515502527948,0,0.0251517668530324,0,0.0503475448143963,0,0,0.0933727746437322,0.0313275003616934,0.0276719463572504,0.0530230249874499,0,0,0,0,0
ETH,0,0,0,0,0.12042796140439,0,0.0791904987031971,0,0.101477083398801,0,0,0,0.141106883511955,0.0583822678930155,0.0312137409369068,0,0,0,0,0
XRP,0,0,0,0,0,0.0453292924402181,0,0.294540481512525,0,0,0,0,0.10989884172252,0,0.14864537574808,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.149904235425655,0,0.16343840012763,0.0247593892059459,0,0,0,0,0,0,0,0
LTC,0.268965157933262,0,0,0.124961841059625,0,0,0,0,0.0182364517411976,0,0,0,0.055677005487386,0.13442210116849,0,0,0,0,0,0
ADA,0,0,0.0331843129412947,0,0,0,0,0.249828269576291,0.145506409828493,0,0,0,0.0723516073524151,0,0.0788677187595945,0,0,0,0,0
NEO,0,0,0,0,0,0.109737614632295,0,0.12683676635311,0,0,0,0.250068440539939,0.0997419062506106,0,0,0,0,0,0,0
XLM,0,0,0.0474475885019743,0,0,0.44035071898287,0,0,0,0,0,0,0.183074026641155,0.0306040752437783,0.0322865969987888,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0174066982030557,0,0,0,0.422952291691273,0.0375266930104791,0.189980507050795,0.0750840249411865,0,0,0,0,0
MIOTA,0,0,0,0,0.154444644569799,0,0,0,0.113479098043762,0,0,0,0.0802865257457445,0.200690784334962,0.00613999621749277,0,0,0,0,0
DASH,0,0,0,0.111320821249199,0,0,0,0,0,0,0,0.349240872264589,0,0.0933267534651972,0.087004952634357,0,0,0,0,0
XMR,0,0,0,0.00543302187413306,0,0,0.0600821739425554,0.0136490113651017,0.0472290334305961,0,0.404859322476227,0,0.0220383541394309,0.165387433595823,0,0,0,0,0,0
XEM,0,0,0.161797973432704,0.0408315659378598,0,0.0395708992741615,0,0.241946836032509,0.0000888279039469586,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0.00154157541185632,0.0510576676820046,0,0,0.29931525338406,0,0.145264035311016,0,0,0.0577895538503622,0,0,0.0781581298693299,0,0,0,0,0
TRX,0.100683391114584,0,0.318712541304586,0.214838057383942,0,0,0,0.136993249889527,0,0,0.00945398027353653,0,0.165524226003325,0.0682543154641485,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.012839306612675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0490742268001813
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000613471890331232,0,-0.000000000000000000000000103397576569128,0,0,0,0,-0.0544651309650114
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
