,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0670045078077429,-0.000000000000000000867361737988404,0,0,0.0318087032032253,0.0250543410499484,0,0,0,0.0251959132366477,0.0468128097992178,0.212427377395562,0,0,0,0,0
ETH,0,0,0,0,0,0.0847644189097382,0.0854859082485157,0,0.106762114115698,0,0.112237682555592,0,0,0.0232929722666205,0.126837749945132,0,0,0,0,0
XRP,0,0,0,0,0.038967260828043,0,0,0.14389033108262,0.0502429215105315,0,0.101481920738191,0,0,0.162635236923036,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.107684932254674,0,0,0.486607579275137,0.0627900119030092,0,0,0,0,0,0,0
ADA,0,0,0.1525795156161,0,0,0,0,0.374527140466149,0.0270635651708264,0,0,0,0,0.0357045310518985,0,0,0,0,0,0
LTC,0.274272743731997,0,0,0.0911165086354927,0,0,0,0,0,0.0975786890367784,0.0329030136876871,0,0,0,0.145715108378933,0,0,0,0,0
NEO,0,0.0663557629980744,0,0.0458739133798214,0.0870291777316023,0,0,0.154217806430699,0,0,0.0861854311234711,0,0.209004617052536,0,0,0,0,0,0,0
XLM,0,0,0.0994023196738257,0,0.273132307634419,0.000000000000000000867361737988404,0,0,0.00964698242578183,0,0.111374014560197,0,0,0,0.0997150345834585,0,0,0,0,0
EOS,0,0,0.124657147402733,0.03635473667241,0,0,0,0,0,0,0,0,0,0.130152666916768,0.186965788847618,0,0,0,0,0
MIOTA,0,0,0,0,0,0.17305466130834,0,0,0,0,0.103856991749974,0,0,0,0.317653737975583,0,0,0,0,0
XEM,0,0,0.0896379400776167,0,0.102619678992804,0.0993218295817275,0,0.286116213706748,0,0,0,0,0,0,0.0146586206108174,0,0,0,0,0
DASH,0,0,0,0.226243072158522,0,0,0,0,0,0,0,0,0.014873826231293,0.0816114870137401,0.17746705581379,0,0,0,0,0
XMR,0,0,0,0.0800443538924235,0.0168662008448847,0,0.171515472775268,0,0,0,0.000749405237015244,0.238243169019024,0,0.00475215989673076,0.184542615106278,0,0,0,0,0
TRX,0,0,0.288870920605131,0.133306284876655,0,0,0,0.0991670582991563,0.0177869767745859,0,0.131113404875889,0,0,0,0.221122014867646,0,0,0,0,0
ETC,0,0,0.0209266982713516,0.115370244728559,0,0,0,0,0.0687423329473946,0,0.0654358174654802,0.0674140793490045,0.166456730697362,0.0630394881419211,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00250824105927336,0.0181307390424796,0,0.00950216123292692,-0.00569375269707633,0,0,-0.0181937870609252,0,0,0,0.0104776811950906,0,0,0,0,0,-0.0493108367441638
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00272503039338877,0,0,0,0,-0.000548950285195273,0,0,0,0,0,0.00221995191269867,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000418764554380885,0,0,0,0,0,0,0,0,0.000296783764697414,0,0,0,0,0,-0.0335746324580639
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
