,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,NEO,ETC,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0958369451070403,0.0609180899564665,0,0,0.0164420081754436,0,0,0.043541327797384,-0.000000000000000000867361737988404,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0883641494203767,0,0,0,0,0,0.164883722225603,0.132398146263773,0,0,0.0286804731855466,0,0,0,0,0
XRP,0,0,0,0,0.0612159775036418,0,0,0,0,0,0.258429041387466,0,0.101519555893325,0,0,0,0,0,0,0
BCH,0,0,0.0732133340658712,0,0.0480382823303738,0,0,0,0.256254834433575,0,0.0398420968304696,0.163292932599146,0.0412693276753578,0,0,0,0,0,0,0
EOS,0,0.0724766885092826,0,0.00979450672896083,0,0,0,0,0,0,0.0920099170856629,0.155216123639327,0.202577133960897,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0.372592889259697,0,0,0,0.1633363181253,0,0,0,0,0,0,0
LTC,0,0,0,0.207868012406626,0.174658549065487,0,0,0.0105085727792224,0,0,0.0470804092696227,0,0.144552962731125,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.142500963738874,0,0,0,0.103879148910478,0,0.260298432377862,0.0465100930090443,0.0743183487774963,0,0,0,0,0
ADA,0,0,0,0.0745951345564212,0.152592644188496,0,0,0,0,0.0547825715280861,0,0.202781279353016,0.192387601472558,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0.0588849776949006,0.0219934418589754,0.362963613539717,0,0,0,0,0,0,0
MIOTA,0,0,0.0775805824399337,0,0,0,0,0,0,0,0,0.154817487950368,0.650590076577475,0,0.069838440833832,0,0,0,0,0
TRX,0,0,0,0,0.13779237459222,0,0,0,0.0513168658533199,0,0.211704755516599,0,0.25004596000677,0,0,0,0,0,0,0
NEO,0,0,0,0,0.249210518774142,0,0,0,0,0.00964719902599304,0.331366552392255,0.0665167187900769,0,0,0,0,0,0,0,0
ETC,0,0.265322527882534,0,0,0,0,0,0,0,0,0.13912027399197,0,0,0,0,0,0,0,0,0
XTZ,0,0.180956381934898,0,0,0,0,0,0.0233331007874415,0,0,0,0.181684563481493,0.0424803597714612,0.120424131310421,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571240137900423
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0.0000000000000000000000529395592033938,0.000000577802632749826,0,0,-0.000000650745044664516,0,0,0,0.0682039514138904,0,0,0
SPX.INDEX,0,0,0,0,0.00000080969348070203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0506486687908657
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
