,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.083523933911744,0.0798358162982217,0,0,0,0,0,0.00817029360126334,0.0562765472966756,0.0128429325320693,0,0,0,0,0,0,0,0
XRP,0,0,0.17115838529169,0.00000000000000000173472347597681,0.0890594213067918,0,0,0,0,0,0.298798107944383,0,0,0,0,0,0,0,0,0
ETH,0,0.071174879719842,0,0.134697623871987,0,0,0,0.193773820202088,0,0.0557976444850213,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.532359405307065,0,0,0,0.0613554529200302,0.100250549644392,0,0,0.095195883238578,0,0,0,0,0,0,0,0,0
XLM,0,0.259107335641272,0,0,0,0,0,0.53412604773065,0,0.0322012332633457,0,0,0,0,0,0,0,0,0,0
EOS,0,0.065677039067389,0,0.136599392983166,0,0,0,0.201602844545564,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0105961756063029,0,0.0798178728903253,0,0,0,0.180857022045754,0,0,0.221830102324047,0.0117071287503569,0,0,0,0,0,0,0,0
ADA,0,0.0179750727172286,0,0.266465679211298,0.264253767732629,0,0,0,0,0.0350445977878242,0.011913078144032,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0452620320537682,0,0,0,0,0,0,0.359469526083008,0,0,0,0.0580059401834003,0,0,0,0,0
TRX,0,0,0.262269554084208,0.0753475888235857,0.0747378898058912,0,0,0.047049142597397,0,0,0.221683618525716,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.145006424590794,0,0,0,0.190755161316074,0.0285041488390259,0.0763011777167611,0,0,0,0,0.0984857041841978,0,0,0,0,0
DASH,0,0,0.254583079257409,0,0,0,0,0,0,0.0144361870714302,0,0,0,0.126795600941246,0,0,0,0,0,0
BNB,0,0,0,0.0990111046020067,0,0,0,0,0,0.127220891649264,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.116353676302955,0.0371207385961106,0,0,0,0.0869883711282485,0,0.153897097174921,0.035653250847158,0.0888343684399109,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0901450921783245,0,0,0,0.469651081305878,0,0,0.00590274492304362,0,0,0,0,0,0,0,0,-0.0207670402047701
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446018205135814
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0.000000294949386178729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0917286025356174
VIX.INDEX,0,0,0,0,-0.00000262574564411841,0,0.00000063092794868588,0,0,0,0,0,0,0,0,0,0,0,-4.05634287782582,0
