,BTC,ETH,XRP,BCH,ADA,XLM,NEO,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.00263940429300814,0,0.0288323646143684,0,0,0.098904337342622,0,0.0642143234466355,0,0,0.0419708068081647,0,0,0,0,0,0
ETH,0,0,0,0.00317287786784757,0,0,0.0750815422706574,0.205911861598422,0.0356342171125633,0,0,0,0,0.0271538611910243,0.09153871087862,0,0,0,0,0
XRP,0,0,0,0,0.0126150022545526,0.0407720229023739,0,0,0.0207442416935714,0.124973409376988,0,0,0,0.0666194405367469,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0229555531692342,0,0.160088924026476,0.0808611666332626,0,0.437867238264336,0,0,0,0,0,0,0,0
ADA,0,0,0.110414895965872,0,0,0.386269024859437,0,0,0.0652376937894449,0.0756301121654842,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0908889153010357,0,0.316988519132673,0,0,0,0.0274097056937596,0,0.221343042471661,0,0.0149376334604941,0,0,0,0,0,0,0
NEO,0,0.195251461410349,0,0.159988947904026,0.111046155988226,0.0772190388308561,0,0,0,0,0,0,0,0,0.0575158780355396,0,0,0,0,0
LTC,0.129781156736703,0,0,0.0575506044642316,0,0,0,0,0.0945225404178291,0.136775317852903,0.0415758624206296,0.0300087281121339,0,0,0,0,0,0,0,0
EOS,0,0,0.0859408778553507,0.183408364779345,0.0470881711844321,0.147656510322934,0,0.211466467208811,0,0,0.000000000000000000867361737988404,0,0.165824810307862,0,0.0359608580643144,0,0,0,0,0
XEM,0,0,0.0334974136136695,0.104228042766732,0.150775638372489,0.206177840543124,0,0.060252101523746,0.0752957628448112,0,0.117917273554972,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.131205044848454,0.101131744789532,0.13485413977428,0,0,0,0,0.205486511227568,0,0,0,0,0
DASH,0,0,0,0.103656661374758,0.0621047228903735,0,0,0.0707601805513566,0,0,0,0,0.0391837772607683,0.0791428022342073,0.161820977290815,0,0,0,0,0
XMR,0,0,0,0.0392979304518117,0,0.113176828638766,0.193104433698885,0,0.083348713397472,0,0.0145529564045394,0.127561464976719,0,0.0241883583526324,0.00306371233887165,0,0,0,0,0
TRX,0,0,0,0.122100963477976,0.0594939838726894,0,0,0,0.0340755682416369,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0953744156320095,0.0303114200446809,0,0,0.0172909282424145,0.0885931596554474,0.0700869530544614,0,0.23800905774882,0.0211302049002994,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.0042330376490291,0,0,0,0,0.00249374533889974,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00342435712550334,0,0,-0.000874023712503103,0,0,0,0,0,0,0,0.00374507524548703,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
