,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DOGE,DGB,XLM,ZEC,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.105906906417086,0.0338160529662399,0,-0.0114118957745206,0,0,0.0572682555911057,0,0,0,0,0
ETH,0,0,-0.0918762659230418,0,0.0546771242913926,-0.00000000000000000173472347597681,0.111490986177715,0,0.032041961929675,0,0,0.094341263921641,0,-0.00000000000000000173472347597681,0,0,0,0,0
XRP,0,0,0,0,-0.11604462356778,0,0,0,0,0,0.454412246458495,0,0,0,0,0,0,0,0
XEM,0,0,0.205553555071752,0,0,0,0,0,0.171671055108219,-0.037968811142477,0,0.0606612375919617,0,0,0,0,0,0,0
ETC,0,0.222298156034984,-0.102218712839413,0,0,0,0,0,0,-0.0181791175319996,0,0,0,0.311203305077213,0,0,0,0,0
LTC,0,-0.0642417236624782,0,0,0,0,0.125033675612995,0.225729565188812,0.0514930048606606,-0.0702061047248161,0.0891602004282213,0,0,0.143605199695565,0,0,0,0,0.0249113921199096
DASH,0,0,0,0,0.0507643541816353,0.0433601005354704,0,0.188133620832557,-0.00000000000000000173472347597681,0,0.0589955964209359,0,0,0.0249444859476567,0,0,0,0,0
XMR,0,0,0,0.0176264047504519,0,0,0.108974776544204,0,0,0,0.0567493338505552,0,0,0.0383806153985721,0,0,0,0,0
DOGE,0,0,0,0.146415564890412,0,0.239171835676683,0,0,0,0.0678202291741065,0.0890428312941687,0,0,0.0522583659860574,0,0,0,0,0
DGB,0,0,0,0,-0.240172619039808,-0.128611880092608,0,0,0.549909269072908,0,0.213347286529802,0,0,0,0,0,0,0,-0.566035036213142
XLM,0,0,0.459933272639688,0,0,0,0,0.108413104896995,0.104330107940468,0.014153303485669,0,0,0,0,0,0,0,0,0
ZEC,0,0.302193507490655,0.0344398154541921,0.049594172165239,0,0,0,0.0174060108525489,0.0627764532402496,0,0.0103650790788403,0,0,0.00527863254492689,0,0,0,0,-0.0195288958907318
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.0419180598607225,0,0,0.147455942324615,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247429708273602,0,0,0,0,-0.0591266282466043
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.00000139415855465037,0,0,0,0,0,0,0,0,-0.0204695172182702
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
