,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.141488248304405,0.0198040096649865,0,0.0386377689819971,0,0,0,0,0,0,0,0.0229689440679347
XRP,0,0,0,0.10821051118137,0,0.0947338405366108,0,0,0,0,0,0,0,-0.0473352429032571
LTC,0.18655046895319,0,0,0.0445231445998405,0,0,0.0473458636554711,0.0330347433404511,0,0,0,0,0,0.138998714011493
DOGE,0,0.0854266219241721,0.148873668446767,0,0,0.169771332888466,0,0.0893593008934935,0.0168920359923835,0,0,0,0,0
DASH,0,0.101157108806484,0.0784843705154444,0.00760760678711005,0,0.106988590703779,0.124421203786703,0,0,0,0,0,0,0
XLM,0,0.207383806749754,0.0547492724565897,0.242825500023306,0,0,0,0,0,0,0,0,0,0.0668272003720525
XMR,0,0,0,0,0,0,0,0,0.250057449003513,0,0,0,0,0
XEM,0,0,0.107560893745328,0.173717472168817,0,0,0,0,0,0,0,0,0,0.185645167316902
DGB,0,0,0.0761629026393021,0.0346379439006811,0,0,0.0422927442244324,0,0,0,0,0,0,0.132778334860249
BV010082.INDEX,0,0,-0.00617985394604249,0.0104625515518262,0,-0.00374982008383384,0,0,0,0,0.0714074471443679,0,0,-0.0506068710737695
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686940340862324
DXY.INDEX,0,0,-0.00000003098851268125,0.00000000334073177180192,0,-0.0000000121169733136153,0,0,0,0.0824706647636321,0,0,0,-0.00851320938110076
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0664447435530219
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
