,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,XTZ,MIOTA,BSV,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.017692708575898,0.0835099552320704,0,0.0683024617018984,0,0,0,0,0.129880109563857,0,0.0109701808186445,0,0.0168682354336492,0,0,0,0,0
ETH,0,0,0,0,0.0978687092502313,0.163171307226881,0,0.126677540065642,0.0335906746205369,0,0,0,0.0329156520207832,0,0,0,0,0,0,0
XRP,0,0,0,0,0.00186314300201803,0.0825113123030577,0,0.0628743447252436,0.06439282487596,0,0.100512079970435,0,0.0309573606018181,0,0.0388738830216729,0,0,0,0,0
BCH,0,0,0,0,0.355531503376666,0.134036258955996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.458661431039369,0,0,0,0,0.0142118780466137,0,0,0,0.00728206776706569,0,0.0789684357166539,0,0,0,0,0
EOS,0,0.21915829345253,0,0.184191360054363,0.0597518099553639,0,0,0,0,0,0.120615115990184,0,0.0171163547373893,0,0,0,0,0,0,0
BNB,0,0,0,0,0.10176971867039,0,0,0,0,0,0.0856541477613409,0.168512958788025,-0.00812842507896776,0,0.149484054944926,0,0,0,0,-0.115755466796963
XLM,0,0.204560325904525,0,0.0236380472527884,0,0,0,0,0.105516831142387,0.0714133380109195,0.104026475378367,0.0861115649875319,0,0,0,0,0,0,0,0
ADA,0,0,0.113749210771299,0.323663620864198,0,0,0,0,0,0,0.0883581387612158,0,0.0721985200946481,0,0.11009223110708,0,0,0,0,0
TRX,0,0,0.120010114704525,0,0.0737652969802207,0,0,0.0295772127145242,0.152820677099948,0,0.000000000000000000867361737988404,0,0,0,0.039347732629452,0,0,0,0,0
XMR,0,0.0793146615590305,0.0470355966036198,0,0,0.0587254705485427,0,0.00441390391529504,0.0643887510110934,0,0,0,0.0720574390128117,0.00983549179605327,0.12506587360541,0,0,0,0,0
DASH,0,0,0,0.057448552672921,0,0,0,0.0663689585384821,0.0315880179319317,0.0707750706974959,0.228628241182705,0,0.0540504643141441,0,0,0,0,0,0,0
XTZ,0,0.0572384904468851,0.217679557462625,-0.0918905657639071,0,0.286309580365826,0.188112539538108,0,0,0,0.425372130962103,0,0,0,0,0,-0.219721077476537,0,0,0
MIOTA,0,0,0.0879768017694628,0,0,0,0,0,0.0820320551768106,0,0.11324738778841,0,0.0209204658620558,0,0.166543802516168,0,0,0,0,0
BSV,0,0,0,0.0694816272040832,0.240238224869492,0,0,0,0.0429900434216172,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033615075646274,0,0,0,0,0,0,-0.068890698963299
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0619480458600711
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
