,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0495985760396309,0,0,0.115861443735667,0,0,0,0.0000965362483599519,0,0,0.137934894488732,0,0,0,0,0,0
ETH,0,0,0.154749333537635,0.11203622743903,0.00575124996846471,0,0.108830046522231,0,0.048754873927374,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0717318698415065,0.0573936251803394,0,0.120340285602193,0,0,0,0,0,0,0.331699137788549,0,0,0,0,0,0
BCH,0,0,0.0536136374891044,0,0,0,0.0597512112559807,0.0552360706539085,0.121500661319011,0,0,0,0.330877221861216,0,0,0,0,0,0,0
EOS,0,0,0.252057277425008,0,0,0,0,0,0.00928329739651781,0.287565472183737,0.0151757245466665,0,0,0,0,0,0,0,0,-0.0207223050931371
LTC,0,0,0.100909400249739,0.188961918630869,0.0358176735070775,0,0,0,-0.0000000000000000000271050543121376,0.001104939523662,0,0,0,0.129366012650526,0,0,0,0,0,0
ADA,0,0,0.0402025981174563,0.0430770861043585,0.0827846075884997,0,0,0.326889316102712,0.0322050336125542,0,0.0232272462226338,0,0,0,0,0,0,0,0,0
XLM,0,0,0.0565591074614154,0,0.0958171546518184,0,0.279258290343701,0,0.0305568297063486,0.0203425223356784,0,0,0,0.203341272231584,0,0,0,0,0,0
MIOTA,0,0,0.106899777202933,0.235952296433455,0,0,0.214717861734311,0,0,0,0,0,0.179564930604992,0,0,0,0,0,0,0
TRX,0,0,0,0,0.19718933542994,0,0.08554928589124,0.352683659859619,0,0,0.0520285521239432,0.0958827507744515,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0929736172429903,0.0810205003603154,0,0.0469892469149022,0.0594055045693999,0.185709262837575,0,0,0,0,0.23409436661697,0,0,0,0,0,0
XMR,0,0,0,0.0749724275462563,0.0206301826434662,0,0.0156760194375031,0,0,0.0640238957807376,0,0,0.304013407937939,0.0752357447648871,0,0,0,0,0,0
DASH,0,0,0,0.0934222804905973,0,0,0,0.0514905350596261,0.0835984988964359,0,0.0431537109231137,0.237199483439459,0,0.190922258519811,0,0,0,0,0,0
XEM,0,0,0.0990041176599024,0.0536108234454847,0,0,0,0.209163940562034,0.214536187594804,0,0.00487366187094325,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.072207310864902,0.0246460734207911,0,0.0904871848383316,0,0.110518949783271,0.0453662687837513,0,0,0,0.0550757043376074,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.025407715382689,0,0,0,0,0,-0.0106998700763788,0,0,0,0,0,0,0,0,-0.100077856808486
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000430028207248854,0,0,0,0,0,-0.0908707624528047
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
