,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,XMR,MIOTA,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0000000000000000000542101086242752,0.174503136392877,0.0574420987086962,0,0,0,0.0421480103261,0,0.0498600864500133,0,0.0264993676809342,0.0273377800233805,0.0543668117860793,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0.014478153582274,0,0,0,0.179624394828152,0.189224151147868,0.0322464117290746,0,0,0,0,0
XRP,0,0,0,0,0.043747776602426,0.060075126810706,0,0.301218590580448,0,0,0,0,0.127102761272599,0,0.147014502951545,0,0,0,0,0
BCH,0,0,0,0,0.256675535979814,0,0,0,0.144893859130447,0.115656343009705,0.0321920003246743,0,0,0.101434018469191,0,0,0,0,0,0
LTC,0,0,0,0.214919592240019,0,0,0,0,0.0888189050639686,0,0,0,0.0490893070319158,0.0813317302919719,0.012464672897946,0,0,0,0,0
ADA,0,0,0.0279856482324006,0,0,0,0,0.254588682693074,0.124872503929307,0,0,0,0.0668845750337383,0,0.0811236787512469,0,0,0,0,0
NEO,0,0.0932287478019389,0,0,0,0.104946288439287,0,0.140548266990015,0,0,0.161378628776718,0,0.0917892886113077,0,0,0,0,0,0,0
XLM,0,0,0.0773150712778248,0,0,0.348719393199972,0,0,0.023862550527018,0,0,0,0.130966513114569,0,0.0727013295609107,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.00451606829483086,0,0,0.308385769218357,0,0.0241553426952318,0.313305014306086,0.0438959463938084,0,0,0,0,0
DASH,0,0,0,0.154547569330591,0,0,0,0,0,0,0.101937949755475,0,0,0.0115919405218233,0.0913348864911246,0,0,0,0,0
XMR,0,0,0,0,0,0,0.10634556599854,0.0260572213418369,0.187333443903763,0.216443112936236,0,0.000751744490485251,0.0194913548820369,0.136077874170954,0,0,0,0,0,0
MIOTA,0,0,0,0.00579433448414453,0.0753958458310086,0,0,0,0,0,0.120592159828551,0,0.123169371156023,0.360976598825748,0,0,0,0,0,0
XEM,0,0,0.121483809453217,0,0,0.0646666074860314,0.0231774130317806,0.294262158713822,0,0,0.0305300238808653,0,0,0,0,0,0,0,0,0
ETC,0,0.186979801203151,0.0350793509101077,0.141058698424928,0,0,0.0286708583459054,0,0.17733537094186,0,0,0.0392062909815729,0,0,0.0500261054311741,0,0,0,0,0
TRX,0,0,0.123264895843985,0.327784752609094,0,0,0,0.219802264977487,0,0,0,0,0.197176424466453,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0163949290893377,0,0,0,0,0,0,0,0,0,-0.00399899218325416,0,0,0,0,0,-0.0486823676634596
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000856487606279846,0,0,0,0,-0.0544651345064467
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
