,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.367815537682864,0,0,0,0.0745636580404332,0,0.00584416669201173,0,0,0,0,0
XRP,0,0,0,0,0.0315274086580913,0,0.211548861388296,0,0.0115122538799503,0.0060426250527374,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.189018429288789,-0.00721786863774543,0,0,0,0,0,0.0656280348321365
LTC,0.5582278555527,0,0,0,0.0377643713235769,0,0,0,0.0126494583918694,0,0,0,0,0,-0.0125156274427635
DOGE,0,0,0,0.543508918505254,0,0,0.0541963790418967,0,0.0119371980104396,0,0,0,0,0,0
DASH,0,0.050679118754274,-0.291271472463148,0,0,0,0,0,0,0.0653899937980774,0,0,0,0,0
XLM,0,0,0,0,0.191993384314908,0,0,0,0.015304795544751,0.0549654175233288,0,0,0,0,0
XMR,0.724583014396955,0,0,0,0.0336343494448437,-0.0466038388799551,0,0,-0.0242338698368864,0,0,0,0,0,0
XEM,0,0.0225627926908808,0,1.06727291837363,0.0658447549837759,0,0.0343555059639203,-0.172966732479316,0,0,0,-1.09417188930477,0,0,0.111927699388252
DGB,0.590353061337468,0,0,0,0,0,0.0976914267227269,-0.0967351687153109,0.0245765290307143,0,0,0,0,0,0.202373221480639
BV010082.INDEX,0,0,0,0,0.0110066126848867,0,0,0,0.00388387470529932,0,0,0,0,0,-0.0394192828893813
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.00121351102458356,0,0,0,0,0,0.0220281372296556
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992694554643326
VIX.INDEX,0,0,0.000000000000000000000105879118406788,-0.00000401954320150629,-0.000000000000000000000105879118406788,0,0,0,0,0,0,0,0,-4.26309266117349,0
