,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.17685419331195,0.0334044393734912,0,0.0278922351654884,0,0.0716138409604338,0,0,0,0,0,0,0
XRP,0,0,0.110406865923968,-0.0438108456459965,0,0,0,0,0.0344742015767661,0,0,0,0,0,0
LTC,0,0,0,0.0108142200603826,0,0.386481629826053,0,0.0800190240589635,0.044938447426516,0,0,0,0,0,0.0135780579812728
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.015491116524083,0.0303517518890388,0,0.102550434602953,0.0423398439552348,0,0,0,0,0,0,0,0
DOGE,0,0,0.341995269406014,0.0100876007884933,0.240839032940051,0,0.0347810463980353,0.010396814802337,0,0,0,0,0,0,0
XLM,0,0.109549284648684,0,-0.0235240554841515,0,0.226132506921535,0,0.155968514728267,0,0.10949422740106,0.0426799677230765,0,0,0,-0.0629684546288797
XMR,0.693160600582145,0,0,0.036899755172405,0,0,0,0,0,0,0,0,0,0,0.0965745098842998
XEM,1.11374125774617,0.274369362982686,0.153831449414089,0.00590785142795239,-0.424523532912885,-0.151529104763238,0,0,0,0.0123840632343798,0,0.376640586427102,0,0,-0.0541766561238693
DGB,0.819155660697092,0,0.0894508000188814,0.0121687569458312,0,0,0,0,0.00496079178557772,0,0,0,0,0,0.00000000000000000010842021724855
BV010082.INDEX,0,0,0,-0.00661319230233994,0,0,0,0,0,0,0,0,0,0,-0.0405759746902302
CVIX.INDEX,0,0,0,0.000000553760077311348,0,0,0,0,0,0,0,0,0,0,0.0547220721362433
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173457556470555
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823648766424236
VIX.INDEX,0,0,0.0465665071534193,0.00476544749218567,-0.0079697516042574,0,-0.000243835833697321,0,0,0,0,0,0,-1.93760290830436,0
