,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0953261173170946,0.104812956187783,0.0949253237648692,0,0,0.0113805530373892,0,0.000436750817754874,0.0877821737180916,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0648908471207729,0.0203675983103635,0.105660959076795,0,0,0,0,0,0.0334491205096114,0.0446185461116221,0,0,0,0,0
BCH,0,0,0,0,0,0,0.483020307740506,0.0285910377321043,0,0.253792943339113,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319862759691963,0,0,0,0,0
DASH,0,0,0.00710676836535079,0,0,0,0.0517649286544319,0.038441887239546,0,0,0,0.179471174028294,0,0.0839978067284347,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.627912153632487,0,0,0,0,0.0539528586475246,0,0,0,0,0
XEM,0,0,0.107913253758077,0,0,0,0,0.114730813187336,0,0,0.0367215918855146,0,0,0.135991268820769,0.145360245380463,0,0,0,0,0
MIOTA,0,0,0,0,0.0975928627135599,0,0,0,0,0,0.0624851278096945,0.153477934419635,0,0.11437314994065,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0.0744761647473796,0.0134238244917432,0,0.266553856140741,0,0,0,0,0
ETC,0,0,0,0,0,0.374242428521925,0,0.0137070292792029,0,0,0,0.018422129678562,0.0467791152556643,0.0269600537353551,0.105780805816283,0,0,0,0,0
NEO,0,0,0,0,0,0,0.40077710171337,0,0,0,0,0,0.242428995313564,0.179157618154186,0,0,0,0,0,0
ZEC,0,0,0,0,0.157789139620608,0,0.0283614759366772,0,0.121907077713487,0,0,0,0,0,0.108588572713168,0,0,0,0,0
EOS,0,0,0,0,0,0.0693849180000702,0.107408621887102,0.0412188684176634,0,0,0.0373618919708837,0.0108837006383857,0,0.0445338345303956,0.131538065537537,0,0,0,0,0
BAT,0,0,0,0,0,0.0850246953803457,0,0,0,0.166416496316058,0.309033408092173,0,0.0110460370290539,0,0.131913498946937,0,0,0,0,0
XLM,0,0,0,0.155528565747051,0,0,0,0,0.258664283482921,0.241277858635914,0,0.047010929283142,0,0.108170125681258,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00493412937360781,0,0,0,-0.0103924328213108,0,0,0,0,-0.0362273943557971
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132512391458501
DXY.INDEX,0,0,0,0,-0.00657376567258638,0,0,0,-0.000971059714752602,0,0,0,0,-0.00411054259270525,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,-0.000000312470631842144,0,0,0,0,0,0.00000000901841138892157,0,0,0,0,0,0,0,0,-0.0397020373283875
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
