,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0864482120546183,0,0,0.0666519517332963,0,0.0613854146098655,0.200445717958693,0,0.0900705983208649,0.0669346971686509,0.0792982467459023,0,0,0,0,0,0
ETH,0,0,0,0.0635522672938663,0,0.0522493570008933,0.148612079313856,0,0.194900056145075,0.0741017137354512,0,0,0,0,0.0177803811531617,0,0,0,0,0
XRP,0,0,0,0,0,0.0869067341822051,0,0.104067419342848,0,0,0,0,0,0.303701909737033,0.118555618840122,0,0,0,0,0
BCH,0,0,0,0,0.0497428106098617,0,0.0155684658014865,0,0.138273439590483,0.115312271613024,0.0546428033868755,0.00802343640668763,0,0,0.00876085475594338,0,0,0,0,0
LTC,0,0,0,0.0402444496958535,0,0,0,0,0.026839403659622,0.134588170516755,0,0.104129997762812,0,0.134001261205005,0.102291876314938,0,0,0,0,0
ADA,0,0,0.176486598819818,0,0.0313809619307154,0,0,0.283121323799646,0.0890179024507696,0.0520405448294413,0,0,0.056472068757643,0.0206738480831759,0,0,0,0,0,0
NEO,0,0.377628850824393,0,0.0165170049227545,0,0,0,0,0.00102448637842317,0.245796534175924,0,0,0,0,0.262935110338214,0,0,0,0,0
XLM,0,0,0.274395185664852,0,0,0,0,0,0.0590757737713,0.0550014978495348,0,0,0,0.124939732305373,0.0366136841189742,0,0,0,0,0
EOS,0,0,0,0.0830740530670449,0,0,0,0.139001749847189,0,0.154441193048611,0,0,0,0.0831852754073266,0.248550035301235,0,0,0,0,0
XMR,0.0403736970661632,0,0,0,0.178548151284752,0.0615868820152754,0.206036751328532,0,0,0,0.255774315617064,0.0491025821668816,0,0.00907192438895186,0,0,0,0,0,0
DASH,0,0,0.0630623838070844,0.0321447551159771,0,0.00498463718285717,0,0.130581363233374,0.0171403491559676,0.171981856552891,0,0,0,0.0902514879633967,0,0,0,0,0,0
MIOTA,0,0,0,0.126722000195381,0,0,0.0470316212144885,0,0.226295088676658,0.154176841909896,0,0,0,0.17796125722187,0,0,0,0,0,0
XEM,0,0,0,0,0,0.163987326753152,0.10245172171981,0,0.10027633324257,0,0,0,0,0.263174422743376,0,0,0,0,0,0
TRX,0,0,0.395678176298953,0.166810608744395,0,0,0,0,0,0,0,0.290427326608373,0.0345142999385509,0,0,0,0,0,0,0
ETC,0,0,0.0461507445369025,0,0,0,0.336187830663968,0,0.231576211049035,0,0,0,0.0370619120803945,0.129378999410168,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0101300781967215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0477830155520349
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342981004121476
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544653285480872
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
