,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.012246132240062,0,0.373362309541354,0,0.00516884136733136,0.0116398008809389,0,0,0,0,0,0.0107081301639222,0.017546402816265,0,0,0,0,0
ETH,0,0,0,0,0.0341194802259772,0,0.0345403511912063,0.056492729250355,0,0.231602313936041,0.0469026971996575,0.0441645222042172,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0517981928865581,0,0.181885550060466,0.0469965371182828,0,0.25180571106424,0,0,0,0,0.0122628097398874,0,0,0,0,0
XRP,0,0,0,0,0.110846386036424,0,0.0290250656653764,0.0692120884087899,0,0,0.10153268390879,0,0,0.0429125962662081,0,0,0,0,0,0
LTC,0.170313917329838,0,0,0.069591081437374,0,0,0.064338439773657,0.00439228708806525,0,0.352007625615837,0.102260590955952,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0343976443822963,0,0.036025236225296,0.0961680527292088,0,0,0.104814295437009,0.0141207477662084,0,0.00186138828187192,0,0,0,0,0,0
NEO,0,0,0.0261906368563681,0,0,0,0,0.263081696930459,0,0,0,0.289999489852554,0,0.163347125295291,0,0,0,0,0,0
XEM,0,0.21113449034002,0,0,0,0,0.0241032342193996,0,0.00544338292559694,0.128433953418561,0.121043083522201,0,0,0.0155146550943521,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0383033681839054,0.0875554776015722,0,0.215990120182968,0.000259652105650116,0.013421053566039,0,0.0133215073390338,0.0114927158421923,0,0,0,0,0
ETC,0,0,0,0,0.2021476569724,0,0,0,0,0,0.165747383590912,0.0574005604726853,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.115931955989956,0,0.321236688837292,0,0.0950799806105152,0,0.0495076173465917,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0927630904438088,0.234737486412412,0,0.199860666331192,0.0927497911957305,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.172876005010921,0.14264619560535,0,0.047036734117326,0.407068433796906,0,0,0,0,0,0,0,0,0
EOS,0,0,0.00234275266046512,0,0.161820689970725,0,0.115551571520817,0,0,0,0.0589581794456993,0.312934189844972,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.00744537616869449,0,0,-0.0195891835822069,0,0,-0.00790676335875694,0,0.017311546260076,0,0,0,0,-0.0526293373667828
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.000025322345568349,-0.000426974486357385,0,-0.000201152716430307,0,0,0,0,0,0,0,-0.0319784502723699
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
