,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0314338057824059,0,0.12425090624775,0.0336151128100826,0,0.00901640732591733,0.119845726422026,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.144965951358685,0,0.0115272949205922,0.0159790534245998,0.00966298791051523,0.103940809133297,0,0,0.0188565099520757,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0299343980277352,0,0.108173444164968,0.00812460179690439,0.301469673741689,0,0,0,0.100927637764366,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.149558670763976,0,0,0.258333387705999,0,0.0115022126185717,0,0,0,0,0,0,0
LTC,0,0,0.0340867924021773,0.0364617752100147,0,0,0.0510871445257967,0.046902121849203,0.0337025057327844,0,0.650355651260356,0,0,0,0.0593517113013841,0,0,0,0,0
DASH,0,0,0,0,0,0,0.149104159735759,0.00594015172548623,0,0.0700305309891352,0,0,0,0.172773771803863,0,0,0,0,0,0
XEM,0,0.237122167377422,0,0.0153814443199075,0.0414129668974097,0,0,0.00424606846964978,0,0.128111480609638,0,0,0.124086465673211,0,0,0,0,0,0,0
NEO,0,0.483016600472092,0,0,0,0,0.165350097463173,0,0,0,0,0,0.132261886957421,0,0,0,0,0,0,0
XMR,0,0,0.0692880670619903,0,0,0,0.0863988158483641,0.0119122701117977,0,0,0,0,0.020094840498637,0.257788624836449,0,0,0,0,0,0
MIOTA,0,0,0,0.0155313040698255,0,0.163532785080005,0.185877109678181,0.0391548683170658,0,0,0,0,0.0469017454295219,0.106394598352226,0.21295841757396,0,0,0,0,0
ETC,0,0,0,0,0.333328386925242,0,0,0,0,0.0622191223816047,0,0,0.00427494209621649,0.0165431874261913,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.360359299242399,0.0206352614818336,0,0,0,0.055012879434421,0.148028138036115,0.150106881693695,0.296991627982914,0,0,0.0449259108350288,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.18479754371776,0.114531612962979,0.0203764171293771,0.107233093422036,0.0508259409178476,0,0,0.00378945931960088,0,0.0925773111970303,0,0,0,0,0
EOS,0,0,0,0,0.147965656014147,0,0,0.139123739463569,0,0.0338066434711692,0,0,0,0.094529533909718,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0426956884669132
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,-0.00634802295465111,0,0,-0.000479185826231243,0,0,0,0,0,0.00189691389804135,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,-0.00000206602325681167,0,0,0,0,-0.00000120803452119829,0,0,0,0,0,-0.0285544692080758
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
