,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.373794462500549,0.0232472755594937,0,0,0.00432832579829746,0.143241851095905,-0.00102666240656164,0,0,0,0,0,0
XRP,0.10604589103673,0,0,0,0.27448031450119,0,0.117104985703473,0,0.0212028331181009,0,0,0,0,0,0
LTC,0.537912276536412,0,0,0,0.0579126589452582,0,0,0,0,0,0,0,0,0,-0.0300421740135399
ETH,0,0,0,0,0,0,0,0.17511389511379,0,0.157985492227135,0,0,0,0,0
DASH,0,0.118411932014174,0.132916648879048,0,0,0.33247201122894,0,0.0101512724716249,0,0,0,0,0,0,0.0361263926349567
DOGE,0,0,0.352763956543812,0,0,0,0,0,0.0290112235642619,0.0346958446526824,0,0,0,0,0
XLM,0,0.224756323466114,0.143458846433091,-0.0256268806933804,0,0,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0
XMR,0.523409866913084,0.0293203739022411,0,0.0894036061336257,0,0,0,0,-0.105219962306012,-0.0882111407327133,0,0,0,0,0
XEM,0,0.184386074356455,0.383200870649852,0,0,0.282209302803452,0,-0.199043902715219,0,0.193753302240653,0,0,0,0,0
DGB,0.129133331813557,0,0.0810318498814576,0.187585192126829,0,0.145008157797523,0.209569497772178,0,0.0649940121548013,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00940444545463615,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0.000000287734835855505,0,0,0,0.0000000755015944199049,-0.000000165163700463907,-0.000000801410441546913,0,0.0568238812055293,0,0,-0.0174316527144842
SPX.INDEX,0,0,0,0,0,0,0,0,0.000000269835986893534,0,0,0,0,0,-0.0718423597588276
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
