,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.379960381151976,0,0,0,0.0735712116392537,0,0,0,0,0,0,0
XRP,0.0681330936157362,0,0,0,0.0245439655069949,0,0.186193263212468,0,0,0.0114061423327627,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.184968466079306,-0.0087572158640903,0,0,0,0,0,0.0614250018441572
LTC,0.566639508637664,0,0,0,0.0274548496690351,0,0,-0.00000000000000000010842021724855,0.00745934207804795,0,0,0,0,0,-0.000788611940937646
DOGE,0,0,0,0.32022925024399,0,0,0.0672482890557713,0,0.0359307255697177,0,0,0,0,0,0
DASH,0,0.0469769354676517,-0.281541373268568,0,0,0,0,-0.00759516671455278,0,0.0979567439495061,0,0,0,0,0
XLM,0,0.10871431369665,-0.0173648306406763,0,0.176344927086911,0,0,0,0.0242800816001314,0.0554768688000501,0,0,0,0,0
XMR,0.715153708008662,0,0,0,0.0325081952963457,-0.0482308188867309,0,0,-0.0203206581847926,0,0,0,0,0,0
XEM,0,0.0945632970238034,0,0.633658127392865,0.0297412930445771,0.202593893240015,0.234342487684451,0,0,0,0,0,0,0,0.0354679644503336
DGB,0.511675602418765,0,0,0,0,0,0.0661536635764093,0,0.000902012723659765,0,0,0,0,0,0.247968899989483
BV010082.INDEX,0,0,0,0,0.00063359277493478,0,0,0,0,0,0,0,0,0,-0.0310859028785888
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.00231857908798821,0,0,0,0,0,0.0271974020849185
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00566788313198934
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0903079488358788
VIX.INDEX,0,0,-0.0000178943360206252,0,0.0000134413362900874,0,0,0,-0.00000607897660732055,0.0000143780369115289,0,0,0,-3.12021138644023,0
