,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.135457933879903,0.0971547855209135,0,0,0,0.0390745829908562,0,0,0.0753850492281566,0.0278757262859831,0.0632094254230605,0.0500456030833722,0,0,0,0,0
ETH,0,0,0,0,0.0820933594691054,0,0.0452005838013132,0,0.0243446107372865,0,0,0,0.164267681893963,0.105037191942489,0.0379016300331255,0,0,0,0,0
XRP,0,0,0,0,0,0.0547393416319352,0,0.310955280961775,0,0.0420233892276269,0,0,0.0980452597660034,0,0.146351567455309,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0.515072938939938,0,0.0776816315818226,0,0.0872253391608775,0,0,0,0,0,0
LTC,0.0787623392666478,0,0,0.186149167867051,0,0,0,0,0.0491607536759626,0,0,0,0.0896550090709396,0.134868972462252,0.00888481713344161,0,0,0,0,0
ADA,0,0,0.0402866478409624,0,0,0,0,0.308125239927832,0.185748795110991,0,0,0,0.0836478212280935,0,0.0622983933466463,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.180945438563598,0,0,0,0.226139380578176,0.126611719818829,0,0,0,0,0,0,0
XLM,0,0,0.0949021184453842,0,0,0.308619241164227,0,0,0.0676005569772562,0,0,0,0.0705358155381476,0,0.0390326425677196,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0283418268167129,0,0,0,0.191855940591835,0.0126589707709375,0.266690340206862,0.105104908393233,0,0,0,0,0
DASH,0,0,0,0.228930225923571,0,0,0,0,0,0,0,0.103965515672386,0,0.153858394700781,0.088642292524265,0,0,0,0,0
MIOTA,0,0,0.00434711249808458,0,0.233614193009912,0,0,0,0.0544140073603331,0,0,0,0.087539164395075,0.174475389395951,0.0258076933853044,0,0,0,0,0
XMR,0,0,0,0.0194534794288477,0,0,0.0470002872733491,0,0.101824285532045,0.32941907412993,0,0,0.012989182133414,0.166205742424456,0,0,0,0,0,0
XEM,0,0,0.130706723435796,0,0,0.0415315760199375,0.00656891896626919,0.300516203589005,0,0,0,0.090719160838076,0,0,0,0,0,0,0,0
ETC,0,0,0.0201276515808598,0.107694602025514,0,0,0.108288912569944,0,0.184556564161791,0.123578032546503,0,0.095010974323133,0,0,0.0455573684866676,0,0,0,0,0
TRX,0,0,0.368198502074421,0.234740886080105,0,0,0,0.132801579024067,0,0,0.098978659249887,0,0.138765404397157,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0163949290893377,0,0,0,0,0,0,0,0,0,-0.00399899218325411,0,0,0,0,0,-0.0486823676634596
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054465127344177
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
