,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.148276541592596,0,0,0,0,0.0794419430239689,0.00676940658380202,0,0.0324264911635444,0,0,0,0,0,0,0,0
ETH,0,0,0,0.322872419457681,0.0400321401493439,0,0,0.00552617327642271,0.0446278737407984,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.227442704487623,0.102215314686505,0,0,0,0.188434362219652,0.0200913609049821,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.314772537880742,0,0,0.0236219039118671,0.149164079870394,0.253892403596949,0,0,0,0.0105343144705272,0,0,0,0,0,0
EOS,0,0,0,0.391841832479617,0,0,0,0.082656534302818,0.145973769275654,0,0.0166982043379163,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.471301878071677,0.119535281242916,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.3138787403197,0.0570005172819872,0,0,0,0.125341734248995,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.151884451350307,0.120698369785542,0.0999387819716846,0,0,0.0866182802003867,0.0615960583429728,0,0,0,0,0.143618881109038,0,0,0,0,0
MIOTA,0,0,0,0.0732937476330993,0.11225081080022,0,0,0,0,0,0.494369692352891,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.28218767182548,0.163635503215171,0.0607056536076683,0,0.111336877992138,0.048443419150659,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.183605227879429,0.0866186825414057,0,0,0,0.326298995316083,0.036430877083747,0,0,0,0,0.0244822269225677,0,0,0,0,0
XMR,0,0,0,0.314753462258199,0.0372158709765425,0,0,0,0,0,0.283254344070018,0,0,0,0.0153386060872671,0,0,0,0,0
DASH,0,0,0,0.140455967980083,0,0.133400269816603,0,0.0476215518665625,0.0000000000000000138777878078145,0,0,0,0,0,0.0356513137114905,0,0,0,0,0
ETC,0,0,0,0.368142200792022,0,0,0,0,0.0930028407021442,0,0,0.0269201059990636,0,0,0,0,0,0,0,0
XEM,0,0,0,0.116821169000507,0.128388194313594,0,0,0.296525235370189,0.0677220577106085,0,0.0282125474930018,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713109567894734
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471205181952274
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
