,BTC,ETH,LTC,XRP,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0343122470934004,0.153082229568437,0.0176066040793563,0,0,0,0,0,-0.0432809886950762,0,0,0,0,0
ETH,0,0,0,0,0,0,0.135015878390835,0.482155797358792,0,0.128575253179322,0,0,0,0,0
LTC,0.448003107171261,-0.0817497733651257,0,0,-0.0172648743175246,0,0,0,0,-0.0138352274729938,0,0,0,0,0
XRP,0,0,0,0,0,0,0.114093327333721,0,0.0646294807726464,-0.0550651393818604,0,0,0,0,0.0179886084102193
DASH,0,0.0219055014258373,-0.0904568435341752,0,0,0,0,0,0,0.0513058325344987,0,0,0,0,0.0438807353502976
DOGE,0.290052900902481,0,0,0,0,0,-0.0906319430857621,0,0,-0.0242753230647485,0,-0.0293979654970616,0,0,0
XEM,0.221376163535661,0,0,0.443091692151176,0.153458360316737,0,0,0.0209703584311667,0,0.0582873604380478,0,0,0,0,0.0248897771938799
XMR,0,0.320454598740895,0,0,0,0,0,0,0.261182339697836,0,0,0,0,0,-0.0874983384696828
XLM,0.153907526605792,0.0308783597237291,0,0.0228479235845934,0,0,0.00000000000000000173472347597681,0.1117073041368,0,-0.000000000000000000433680868994202,0,0,0,0,0
DGB,-0.189696459694665,0.126484202801684,-0.0744550460440897,0,0.118426815183936,0,0.129578583985151,0,0,0,0,0,0,0,-0.109986148789572
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100317995204831
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476407394410074
DXY.INDEX,0,0.000000205555831445908,0,0,0,0,0.000000455586853532106,0,0,0,0,0.0385434224164891,0,0,-0.010154612828979
SPX.INDEX,0,-0.000000342938163181656,0,0,0,0,0,0,0,0.000000100862059265897,0.00509011401683435,0,0,0,-0.0834781754099311
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0.575985463760925,0,0,0
