,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0976985725438295,0.00780058139195303,0,0,0,0.00900500235576399,0,0.0181917012353008,0,0,0.161795550129877,0,0,0,0,0,0
ETH,0,0,0,0.134514808021065,0.0318905648780549,0,0,0.0475558461828157,0.091778506521319,0,0,0,0,0.125160302641036,0,0,0,0,0,0
XRP,0,0,0,0.068088788869323,0.0695059649641642,0,0,0.0946251742987508,0,0.00673855997015971,0,0,0,0.342950201467654,0,0,0,0,0,0
BCH,0,0,0,0,0.149437768362914,0,0.11106687783293,0.0523147312924436,0.298395270297755,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.3051671928552,0.0143892717742191,0.259295031786125,0,0,0,0,0,0,0,0,0,-0.0157533904181898
LTC,0,0,0,0.202256888053829,0.0389718310519213,0,0.0444845722665755,0,0,0,0,0,0,0.135638015768443,0,0,0,0,0,0
XLM,0,0,0,0.0257689083353572,0.203875437156535,0,0,0.0231773572955666,0.0601696003436458,0.00431410598888343,0,0,0,0.228553513182261,0,0,0,0,0,0
ADA,0,0,0.020693623300943,0.0590797197420596,0.118549409995203,0,0.253640748495959,0,0.116318057390219,0.0831942148661159,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.329022665797588,0,0,0,0.254420694869219,0,0,-0.00000000000000000346944695195361,0,0,0.0835270055295622,0,0,0,0,0,0
TRX,0,0,0,0,0.208384902475938,0,0.343100569226238,0.0535329677074536,0,0,0.220616586664144,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0828592953372454,0.0871531087796265,0,0,0.0555814679009694,0.0841868308105546,0.0843464970087728,0,0,0,0.214617641838946,0,0,0,0,0,0
DASH,0,0,0,0.294444916957752,0,0,0.0752875374953597,0,0.0516896994638517,0,0.0114014123207232,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.20639621046734,0.0969607014721478,0,0.110035598937545,0,0.0110023588378051,0.0544524911245007,0,0,0,0.0733051484656021,0,0,0,0,0,0
XEM,0,0,0.038771279245795,0.0560734788319064,0,0,0.123947042564144,0,0.214640330231573,0,0.157761986415823,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0693588206136003,0.111428255232349,0,0,0,0.0961852243279845,0,0,0.0550644925567746,0,0.0331150467821644,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0248991007450361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1084487984894
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00423904303577948,0,0.0105592294946495,0,0,0,0.00217232637958552,0,-0.0100497778892786,0,0,0,0.000555245368159492,0,0.019359445790046,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.00000134665801205095,0,0,0,0,0,0,0,0,-0.065347473169821
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
