,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.370798090372689,0,0.0196551492755387,0,0,0,0,0,0,0.0183536136362366,0.0110321256245366,0,0,0,0,0
ETH,0,0,0,0,0.0670211056721291,0,0.0333261758642738,0,0,0.211596262238247,0.0904600907231273,0.0541286705810545,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.159679601194522,0,0,0.283368725269706,0,0,0,0,0.00668405302662224,0,0,0,0,0
XRP,0,0,0,0,0.0701029702817616,0,0.0553660223408699,0.0293572739564338,0,-0.00000000000000000173472347597681,0.125541186782462,0,0,0,0.036833183450564,0,0,0,0,0
LTC,0.128278213024077,0.00000000000000000346944695195361,0,0,0,0,0.0651960183060667,0,0,0.394630455738297,0.0958174631134968,0,0,0.0162773399266374,0,0,0,0,0,0
DASH,0,0,0,0,0.0399586021418855,0,0.0390249045173028,0.0884107174047942,0,0,0.112485134457148,0.0110531598127333,0,0,0,0,0,0,0,0
NEO,0,0.128291870358811,0.0207196684693474,0,0,0,0,0.233823806086852,0,0,0,0.424028245278537,0,0,0.0835030832753597,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0346688930034238,0,0,0.0923891465355795,0.196336266563694,0,0,0,0.00183176901359258,0,0,0,0,0
XMR,0,0,0,0,0.100867552497603,0,0.0707249968805342,0.0271141349968448,0,0.00907176859061969,0.0385862065095777,0.0993779109674635,0,0.00959005016325588,0.0163975792839499,0,0,0,0,0
ETC,0,0,0,0,0.240891872418211,0,0,0,0,0,0.162429149407224,0.0206586781969244,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.107041905205497,0.0815332133508846,0,0.279933869700238,0,0,0,0.0755008663818904,0.0410019470386068,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.114201912292967,0.105995204489121,0,0.167106939673448,0.199418224536852,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.112518074370167,0,0.127254638230111,0,0,0.0461053902224895,0.0748516407621224,0.283905902026658,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.163979809175824,0.110999649527975,0,0,0.396842070573973,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0179306011247334,0,-0.0000000000000000000135525271560688,0,0.000565110635011455,0,0,-0.0228770664319812,-0.00669449788886202,0,-0.00525217232056641,0.0142382030576273,0,0,0,0,0,-0.0694560461750495
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.00000165711100485098,0,-0.00000282451206429591,0,0,0,0,0,0,0,-0.0304983824403014
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
