,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,XLM,EOS,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.0816008200907555,0,0.0134175047366289,0.0045835935344614,0.119293092842925,0,0.0474304889789753,0,0.0495948364170357,0,0.0612734922841408,0,0,0,0,0
ETH,0,0,0,0,0.0650025200485937,0,0.0249974264303319,0,0.110665942481155,0,0,0,0.033415162825688,0,0.0197844082835022,0,0,0,0,0
XRP,0,0,0,0,0.0823821862867384,0,0,0,0,0,0,0,0.306504637891431,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.507622306932724,0,0.0271238601562416,0,0.145147483938493,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.62952507432321,0,-0.00000000000000000693889390390723,0,0,0,0,0,0,0
DASH,0,0,0,0.0253257739917145,0,0,0.075012191059045,0,0.0968521832283907,0,0,0.198451161245875,0,0,0.0795497327011911,0,0,0,0,-0.0200540054282671
XEM,0,0.0965298199469987,0,0.107358440257191,0,0,0,0.00954906616042936,0.0776384808061319,0,0,0,0.161764853848383,0,0.187603430088071,0,0,0,0,0
NEO,0,0,0,0,0,0,0.159379700787567,0,0,0,0,0,0,0.489946130813719,0.197248531928889,0,0,0,0,0
MIOTA,0,0.316615880009332,0,0,0,0.0272421347668425,0.0520032022754802,0.0259171499702496,0,0,0,0.22778310608538,0,0.0796964832847367,0.185282811901603,0,0,0,0,0.0678113359214121
XMR,0,0,0,0,0,0,0,0,0,0,0,0.136139234623547,0.23167030989899,0,0,0,0,0,0,0
ETC,0,0,0,0,0.344955408394178,0,0,0,0,0,0,0.065487555877016,0.0435258978839394,0,0.0109188424804916,0,0,0,0,0
ZEC,0,0,0,0.0236829338258415,0,0.0448759158482505,0,0,-0.00000000000000000173472347597681,0,0.175492808668454,0,0.209996681260389,0.000560427033206141,0,0,0,0,0,0
XLM,0,0.0966925508852314,0.374371880877519,0,0,0,0,0,0,0.0829093397135515,0.24473622028045,0.158319117733976,0,0,0.0546126341839902,0,0,0,0,0
EOS,0,0,0,0,0.0817199552508999,0,0.0581468332844215,0.0631658625478006,0.00868961906286172,0,0,0.0137194894832603,0.0745443996097606,0,0,0,0,0,0,0
BAT,0,0.120633536493829,0,0,0.120763303323433,0,0,0.244628603918247,0.0684220238295881,0,0.149632513525204,0,0.00729863442958311,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.0183368994639909,0,0,0,0,0,0,0,0,0,0,0,-0.036930658637309
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132505689690479
DXY.INDEX,0,0,0,0,0,-0.00647080173908416,0,0.00143932146044874,0,0,0,0,0,0.00174311820590077,-0.00590137616628532,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000406032662806936,0,0,0,0,0,0,0,0,0,-0.0355103000927672
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
