,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,XMR,XEM,BTG,EOS,ADA,ETC,NEO,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.121009309185522,0,0.0459092384454768,0.00852476336903876,0,0,0,0.0073021341365929,0,0.0567578644035596,0,0,0,0,0,0,0,0
ETH,0,0,-0.0000000000000000000542101086242752,0.0777356602758665,0.0909228172893608,0,0.037331812569091,0,0,0,0.0149427560808663,0.0670564880417121,0.065782256441249,0.0320632976678061,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.197533985694555,0,0.0754672026272901,0.0896217811567249,0,0,0,0.190816481968312,-0.00200609482166354,0,0,0,0,0
XRP,0,0,0,0,0.0493431610704736,0,0,0,0.102888542690316,-0.00000000000000000010842021724855,0.0380079435404308,0.0898362325356302,0.0201253576696751,0,0,0,0,0,0,0
LTC,0.0621426880776669,0,0,0,0,0,0,0,0.224790895192876,0,0,0.0122651186037575,0.146484899242409,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.167968781093539,0,0,0.179494145823221,0,0,0.0972079192236621,0,0,0,0,0
DASH,0,0,0,0,0.0720387036073052,0,0,0.0648912940979579,0.0272619490985048,0,0,0,0,0.0656202286261526,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0714389998719033,0.15828949455951,0,0,0.00140636978989409,0,0.14628767921187,0.0171586227404267,0.0922088103451476,0.0205085699373706,0,0,0,0,0
XEM,0,0,0,0,0.109920098973551,0.0809873285695262,0,0.016747352117969,0,0,0,0.077101274200757,0.0511445424904942,0,-0.000000000000000000433680868994202,0,0,0,0,0
BTG,0,0,0.441271148335268,0,0.0690051439922605,0,0,0,0,0,0,0,0.0718983174338609,0,0,0,0,0,0,0
EOS,0.0580174037346765,0,0,0.346213242293119,0.0101361946022437,0.170292183908199,0,0,0,0.021793344501407,0,0,0,0.14251006551428,0,0,0,0,0,0
ADA,0,0,-0.0687876298001096,0,0.242982441685939,0.0329973470476843,0,0,0.0227397919731801,0,0,0,0.133750384563954,0,0,0,0,0,0,0
ETC,0,0,0.0992810795269088,0,0,0,0,0,0.0910970330111789,0,0,0.1701561755387,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.0319428432593107,0,0.043624060033509,0.0418953784930166,0.0435854301198121,0,0.0514337552268842,0,0,0,0,0
XLM,0,0,0,0,0,0.194388006608988,0,0,0,-0.0213867257607808,0.0845138762955131,0.276239480151343,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,-0.00146414866883455,0,0.0243565892475343,-0.00622955102880942,0,0,0.0136824608215053,0,0,0,0,0
CVIX.INDEX,0,0,-0.0188804806820751,0,0,0,0,0,0.0089134733870591,-0.000404985961741559,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.000000022950321797837,0,0,0,0,0.000000017770805276863,-0.0000000197602424861555,0,0,-0.00000000845170931083869,0,0,0,0,-0.0123792551119968
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
