,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.292927709662637,0,0,0,0,0.132166579437203,0.000000000000000000867361737988404,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.239933377064277,0.169653999453374,0,0,0,0,0.0945714487317425,0.0542238071535312,0,0,0.0058344829474809,0,0,0,0,0,0
XRP,0,0,0,0,0.204381131906517,0,0,0,0,0.0348993676755577,0.28732838953847,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.123753793454353,0,0,0.10316784119983,0.17382534907263,0.292250280384527,0.0325663286864325,0,0,0.000914296082715659,0,0,0,0,0,0
EOS,0,0,0,0.197661186566488,0,0.0191234742469631,0,0.0214437955472923,0.140280017950576,0.203602644853593,0.208792096711921,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.440448542099209,0,0,0.125414995802551,0,0,0.000000000000000000867361737988404,0,0,0,0,0,0
LTC,0,0,0,0.215251146351634,0.172722233272293,0,0,0,0.0211942598056407,0,0.112014761218209,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0508336205439669,0.266132911756917,0.129168061539196,0,0,0,0.124921699669047,-0.00000000000000000173472347597681,0,0,0.0430967019939784,0,0,0,0,0,0
XMR,0,0,0,0.628996520638573,0,0,0,0,0,0,0,0,0,0.219055433373644,0,0,0,0,0,0
TRX,0,0,0,0,0.199843074373613,0.0561651148847276,0,0.191032171933231,0,0,0.178754425299996,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.392971120084921,0,0,0,0,0,0,0.112760158293039,0,0.355733222243425,0,0,0,0,0,0
ETC,0,0,0,0,0.0898116581111817,0,0.139021710125285,0,0,0,0.234347249748673,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.0492923374357615,0.123163779843749,0.0355148721722185,0.131093946465385,0,0,0.0614927441654943,0,0,0,0,0,0
NEO,0,0,0,0,0.132130493647621,0,0,0.251067571948854,0.155256684086559,0.0808023944554073,0.24474755280464,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0833865505887414,0.116251379451271,0,0,0.0504509304941937,0,0,0.0441122531276636,0.200008179855566,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00367563181294961,0,0,-0.00339192155682948,0,0,0,0.0145359748629823,0,0,0,-0.101912305241893,0,0,-0.0259594528589805
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.0000331562856003578,0,0,0.00000803803207155203,0,0,0,0,0,0,0,0,0,0,0,0.0389533546577468,0,0,-0.0100877134188916
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0471202640022502
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
