,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.363890147104689,-0.0816318263278052,0,0,0,0,0,0.0126793346161132,0,0.0168032520286716,0.00609688496905178,0,0,0,0,0
ETH,0,0,0,0,0,0,0.041744549975213,0.107487122855977,0,0,0.0643243595129469,0.0499823162369168,0,0.0506975944605971,0,0,0,0,0,0
BCH,0,0,0,0,0,0.205230561923608,0.153736728463069,0,0,0,0.184487747965744,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.00829572144546896,0,0.151082373268783,0,0.0423984040220096,0.0714652868834087,0,0,0,0,0,0,0.0564922162021417,0,0,0,0,0
LTC,0.0489636535738503,0,0,0.140702738818874,0,0,0,0.070842718540647,0,0.091928773211105,0.0876372681740521,0.0235370387172481,0,0.0338431858006338,0,0,0,0,0,0
DASH,0,0,0.0523221079112372,0,0,0,0.0395593821375837,0.123552234031796,0.022479209004903,0,0,0,0.0722447506740897,0.045553580603876,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0.0424521980149692,0.0414429155836416,0,0.0467240460832305,0.183256358717985,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.137899073386174,0,0,0.163160448766332,0.0874406756228721,0.0119612111554575,0.0585517674496673,0,0.0664772791672509,0,0,0,0,0
XMR,0,0.0545400666466997,0.0168126272118315,0,0,0,0.112583515837364,0,0,0,0,0,0.12585931033776,0.0201654455278426,0.0163770103919304,0,0,0,0,0
XEM,0,0,0,0,0,0,0.00962449652664792,0.209507756739869,0,0,0.0563266497026177,0,0,0.0974355226450277,0.116170686094314,0,0,0,0,0
ETC,0,0.193967329697087,0.129265003652979,0,0.0740938131969728,0,0,0,0,0,0,0.0190457527190026,0,0,0.00817505234241351,0,0,0,0,0
EOS,0,0,0.0082827958406856,0,0,0,0.0558232242076814,0.155417749149574,0,0,0.252760358512673,0,0.138905036020464,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.0196104482920597,0.288534095441574,0,0.232384603002287,0,0,0,0,0,0,0.00365518036368098,0,0,0,0,0
ADA,0,0,-0.156699498832124,0,0,0,0,0.0308671037311706,0.00481090993634192,0,0.172197341819489,0,0,0,-0.0521631726186087,0,0,0,0,0
XLM,0,0,-0.0131190052833184,0,0,0,0.294508543761431,0.115924917871826,0,0.675614376226628,0,0,0,-0.0700525557967911,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,-0.0149685054865118,0,0.035277410905856,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0.00031816080976555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027651710823768
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
