,BTC,ETH,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.016464448893182,0,0.340503318734907,0,0.00751530922853919,0.098906503915269,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.118486348461364,0,0,0,0.118014290178802,0,0,0,0,0
XRP,0,0,0,0,0,0.0768492492159537,0,0,0,-0.05095517004309,0,0,0,0,0.0401310816280846
LTC,0.728001836611475,-0.0275333879242966,0,0,0,0,0,-0.0229950325290975,0,0,0,0,0,0,0
DASH,0,0.0574888261972338,0,0,0,0,0,0,0,0.0577148372346506,0,0,0,0,0.0736496696885684
XEM,0.332702279189265,0,0,0,0.103672200646101,0,0.177578048228244,0.0529604027247927,0,0.0618959016029734,0,0,0,0,0.172235943812953
DOGE,0.285384284331477,0.0690430641301611,0,0.164782421455419,0,0.0418318574021949,0,0,0.298550907221525,0,0,-0.0653213019570501,0,0,0
XMR,0.291240923893959,0.019006029429729,0,-0.166976485354368,0.10007636495385,0.012859930537128,0.239123449927027,0,0.725722833480244,0,0,0,0,0,-0.149898966459446
XLM,0.0773981716143346,0.0287362806548076,0,0,0,0.0874002229607372,0.096432918740191,0.0864450571344352,0,0,0,0,0,0,0
DGB,0,0.112981027107027,-0.0435030739829144,0,0.279070502883983,0.173455630313846,0,0,0,0,0,0,0,0,-0.114018638372733
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0629342518364953
CVIX.INDEX,0,0,-0.0000000000000000000000132348898008484,0,0,0.000000603396802240877,0,0,0,-0.00000270737515723856,0,0,0,0,0.123572724955512
DXY.INDEX,0,0.000000361038345313913,0,0,0,0.0000000624929009746075,-0.000000557749704194489,0,-0.0000000588159808729012,0,0,0.0393260116855616,0,0,-0.011513307887475
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407700495825452
VIX.INDEX,0,0,0,0,0,0.0000123798947523562,0,0,0,0,0,0.576008184538079,0,0,0
