,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.00387697731557588,0.074047446312007,0.111445561071089,0.05366873259124,0,0.192692011270528,0,0,0,0,0,0,0,0
ETH,0,0,0.0915133462729956,0.0436074451931636,0.0229402909716903,0,0,0,0.223547324381326,0.0897502795649779,0,0,0.00190135801173653,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0285078219508744,0.174651653648538,0,0.095432421663434,0,0.130234828054383,0,0,0.149119505096033,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.227659305616032,0,0,0.0643718338788957,0.253327741773158,0,0.0568336868060243,0,0,0,0,0
EOS,0,0,0.194778860104605,0,0,0,0,0,0,0,0.111361692593465,0.0894860908146542,0,0,0.0710103137626326,0,0,0,0,0
LTC,0,0,0,0.0888661404852259,0.039577289347238,0,0,0,0.134372861835203,0,0.00841227276671327,0.163090117453184,0,0,0.0832231490281643,0,0,0,0,0
ADA,0,0,0.139653131550796,0,0.0645069483554236,0,0,0.292830659923859,0.0116618874466877,0.0656229193636826,0,0,0,0.062935475114858,0,0,0,0,0,0
XLM,0,0,0.216024829004581,0,0,0,0.197120440866633,0,0.0166857879016718,0.152731493518971,0,0.0596957701983962,0,0.0540298075816548,0.04435631012609,0,0,0,0,0
MIOTA,0,0,0.0104147990855117,0.144525361400416,0,0,0.0843245882118556,0,0,0.0804209619784865,0,0.206639850405004,0.0395096354882931,0,0.193165857395661,0,0,0,0,0
NEO,0,0,0,0,0.0268367518320496,0,0,0.20615632312031,0.331256525588674,0,0.0174217389292994,0.0935085480283893,0,0,0.137574094439331,0,0,0,0,0
TRX,0,0,0,0.504190099175311,0,0,0,0,0.0641662869879781,0.111049129451997,0,0.0393779664238874,0.0773454105213331,0,0,0,0,0,0,0
XMR,0,0,0,0.111201448770286,0,0.0579454373365253,0,0.107811744778674,0,0.125618394338844,0,0,0.223922552483202,0,0,0,0,0,0,0
DASH,0,0,0,0.285025848518241,0,0,0,0.0747763454277166,0.15776860959767,0,0.0540608175048237,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.111909979066267,0.244224368749194,0.186499708593821,0,0.0289774540698578,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0131292770236975,0,0.11802600786595,0,0.0517973172124777,0.282190510125319,0.216979456839189,0.0429302129295385,0.0488746795962099,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00642097082548893,0.0401064801102415,0,-0.00926257482113925,0.0267148099471794,0,-0.0238371627034094,-0.0328157526606468,0,0,-0.00674310396195197,0,0,0.0639597790766637,0,0,-0.0384509564925313
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857035220633
VIX.INDEX,0,0,0,0.0000152384786957055,0.00000422729935918736,0,0.00000630393417562113,-0.00000442511781187579,0,0,0,0.000000000000000000000105879118406788,0,0.00000162504344251092,-0.0000151999442320026,0,0,0,-3.97253937680206,0
