,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.00954898852014181,0,0.356907272564965,0,0.0071401472471853,0,0,0,0,0,0,0.0439524518348128,0.0150343965919194,0,0,0,0,0
ETH,0,0,0,0.0478456237020166,0.171773689162063,0,0.0207830990869283,0,0,0.102123678555235,0,0.0778684004739042,0,0,0.00734453640745418,0,0,0,0,0
BCH,0,0,0,0,0.045117566224841,0,0.138153795693297,0.0532704393696596,0,0.00357397270062928,0.218349350163158,0,0,0,0,0,0,0,0,0
XRP,0,0.0676995611601877,0,0,0,0,0.0538997988017577,0.0936374156128103,0.0239484324001332,0.117424317426967,0,0,0,0,0.0363709579936758,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0855955192663385,0,0,0.0375769040430992,0.677444474623967,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0361522623714524,0,0.033821353479767,0.0810950995668654,0,0.100283191944304,0,0.0552357852224198,0,0,0,0,0,0,0,0
NEO,0,0.222347413866476,0.0549122182217207,0,0,0,0,0.0422590773280249,0,0,0,0.481119789799752,0.0202927382164443,0,0.100857072783014,0,0,0,0,0
XEM,0,0.0577747614878098,0,0,0.0328087127927549,0,0.0351253053607963,0,0,0.220622576084753,0,0.00906356028305201,0,0,0.00724170147247697,0,0,0,0,0
XMR,0,0,0,0,0.121087533908779,0,0.0559372787264054,0.0752902312035954,0,0.0436478526896273,0,0.108484043238605,0,0.0295896039969074,0.0130273107969329,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.2397886731519,0,0,0,0.142367970420189,0,0.121906187635524,0.0704938473866108,0,0,0,0,0
ETC,0,0,0.0473669228267765,0,0.369143182504798,0,0,0,0,0.109378728614632,0,0.036383107497188,0,0,0.00151225129173886,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.139659124750138,0.00747605035994247,0,0.218681778659905,0.30014574308907,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.137754958178511,0.0428312249018006,0.0547894017187227,0,0.114022185720586,0,0,0.0644104698575348,0,0.142281674010112,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.156910183937292,0.0856290313957796,0,0.324344469479502,0.218417743656513,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.0172380019573822,0,0.0147011018372735,-0.00176236628858608,0,-0.000207950655889942,0,0,-0.00841786345889854,0,0,0,0,0,0,-0.048474461044991
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.00000332482156727321,0,0,0,0,0,0,0,-0.0314957434309336
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
