,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0721372731890729,0.0413448263306197,0,0,0.00741209420030648,0,0,0,0.0668540408883799,0,0.151416086237945,0,0,0,0,0,0
XRP,0,0,0.0123270932503267,0.0730276766531007,0.110878790985746,0.070486195728143,0,0,0,0.0724243323454599,0.0563026704896713,0,0.0553653460165232,0,0,0,0,0,0,0
ETH,0,0,0,0.14488252052098,0,0,0,0,0,0,0,0.077886122267535,0,0.227653248747944,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0684824872517902,0,0.0202428046438158,0,0.0626031916491446,0.195458942014635,0,0,0.378792876158979,0,0,0,0,0,0
XLM,0,0,0.144602047879253,0.0699483121362602,0,0.145378577401648,0,0,0,0.124139008605139,0,0.098846758344818,0,0.0432044218993514,0,0,0,0,0,0
EOS,0,0,0,0.0235738592330901,0.256794746572065,0,0.112679396384089,0,0,0.145309205022386,0,0,0,0.121609013341063,0,0,0,0,0,0
LTC,0,0,0,0.0431692908703892,0,0.215982760809623,0,0,0,0,0.0229766521700915,0,0,0.210345196810326,0,0,0,0,0,0
BSV,0,0,0,0.29186392669836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.143479224994094,0,0,0,0,0,0.127989996732645,0,0,0.0340695782084801,0,0,0,0,0,0,0
ADA,0,0,0,0.241148184399169,0,0.187327241724214,0,0,0.0568443602047902,0,0.0111513126876453,0,0,0.0284625624909502,0,0,0,0,0,0
MIOTA,0,0,0.0471438004668562,0.195764105205966,0.0633641227364913,0.0349764988415545,0.0308614748359196,0.0198928134553171,0,0,0,0,0,0.28891150842703,0,0,0,0,0,0
XMR,0,0,0,0.161927351269915,0,0,0,0.00336910417621892,0,0,0.0266629976729166,0,0,0.237221305479297,0,0,0,0,0,0
BNB,0,0,0.109727373192264,0,0,0.0638644168377219,0,0,0,0.0338015218404686,0.0730849038218843,0,0,0.0503945826133436,0,0,0,0,0,0
DASH,0,0,0.144561065273384,0.107131158980481,0,0.151906984997266,0,0,0,0,0.00218814106729566,0.117445656084507,0,0,0.0152282144833469,0,0,0,0,0
XEM,0,0,0,0.112787626830434,0,0,0,0.00877620504486877,0.0601625521058713,0,0,0.0732051517242662,0,0.129098608662642,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735827402459003
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322368014277553
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115108460173626
VIX.INDEX,0,0,0,0,0,0,0,0.00000035271264009761,0,0,0,-0.000000796181895370171,0,0,0,0,0.372502199266514,0,-2.05980947471792,0
