,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00347391507254397,0,0,0.420647788054608,0,0.0456525842642166,0,0.0276314276296775,0,0,0,0,0,0,0
ETH,0.323574394137249,0,0,-0.0893113007088939,0,0,0.0213431299239217,0,0,0,0.19159045205226,0,0,0,0,0.0188353360582733
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.544282301311223,0,0,0,0,0,0.00409999557855884,0,0,0,0,0,0,0,0,-0.00303622231004569
DASH,0,0.0843175610066804,0.136660621546259,-0.00433590875417019,0,0,-0.0169242883025,0,0,0.0591951247286365,0.0479344690604619,0,0,0,0,-0.018149349793925
XEM,0.515548190117948,0.00852263557565136,0,-0.0210024863286054,0,0,0,0,0,0.288938222477371,0.0317140490061939,0,0,0,0,0
DOGE,0,0.0155790247545769,0,0,0,0,0.0824461516943245,0,0,0,0,0,0,0,0,0
XMR,0.798496495446854,0,0,-0.010536625302134,0,0,-0.0733338717657844,0.00000000000000000693889390390723,0,-0.0175448281470787,0.0334939474533665,0,0.0666584259837467,0,0,-0.0822799614730902
XLM,0,0,0,0,0.00697578700573346,0,0.197099091667523,0.247902751533724,0,0,-0.0183544895821629,0,0,0,0,0.0134344585595638
DGB,0,0.172216074224397,0,0.00327509310312735,0.118403445080653,0,0.0724508600564575,0.0980006910836636,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.000244544469889181,0,0,0.0164061093748234,0,0,0,0,-0.0210095253754502,0.0300609493798602,0.00489679698802563,0,-0.0659780218734296,0,0,-0.0688748441051822
CVIX.INDEX,0,-0.00493805566393478,0,-0.018836723729672,0,0,0.0011484449959807,0,0,0,-0.00975477100233261,0,0,0,0,0.234153873567172
DXY.INDEX,0,0,0,0,0,0,0.000000101549020394536,0,-0.000000234648741923762,0,0,0,0.0311443317348451,0,0,0
SPX.INDEX,0,0,0,-0.00000290158732165937,0,0,0,0,0,0,0,0,0,0,0,-0.0440793105388904
VIX.INDEX,0,0,0,0.000000687393890061054,0,0,0.000000561895989780508,0,0,0,0,0,0.433002700515598,0,0,0
