,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.112953476923745,0.109098426716333,0,0,0,0,0,0,0.105505664806815,0,0.0477324670549114,0.0543011184302841,0,0,0,0,0
XRP,0,0,0,0,0.0662827873816799,0,0,0,0,0.0881330441285552,0,0.00290369490846181,0.0402953605916731,0.0412179887262578,0.194309840758042,0,0,0,0,0
ETH,0,0,0,0.183396508474809,0.11806003002764,0,0,0,0,0,0,0,0.0072943403524638,0.0227247862096556,0.243706577595758,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.386301288190868,0,0,0,0.125890697830303,0.142033361666206,0,0,0,0,0
BCH,0,0,0,0.316700573475279,0,0,0.0809373281543447,0,0.352158676593137,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.192850955333675,0.00187694302313449,0,0,0,0,0,0,0,0.00273249425072008,0.0273145828610022,0.364446812891534,0,0,0,0,0
TRX,0,0,0,0,0.136723014899041,0,0,0,0,0,0,0,0.0263441279093185,0,0.428872052721724,0,0,0,0,0
XLM,0,0,0,0.284726700502827,0.121185429662132,0,0,0,0,0,0,0,0,0.101382534208688,0.0671811716299682,0,0,0,0,0
BSV,0,0,0.0474076402473142,0,0.60566233768398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.158909256252704,0.331839857079572,0.0794022808022309,0,0.00989043174991434,0,0.0191605154850039,0,0,0,0.0241350196314034,0,0.123254108107796,0,0,0,0,0
BNB,0,0,0,0.239891388405038,0,0,0.176668718198447,0,0,0,0,0,0,0,0.16307425953625,0,0,0,0,0
XMR,0,0,0,0.0434453410528168,0.118215103277165,0,0,0,0.0404171947366579,0,0,0,0.034192398021113,0.259981346443951,0.236873444481272,0,0,0,0,0
MIOTA,0,0,0.094107836857196,0.197172995584512,0,0,0,0,0.0511731311603606,0.0146516956064465,0,0.0122226926823189,0,0.289455413446392,0,0,0,0,0,0
DASH,0,0,0,0.233855929255079,0.125199570778961,0,0,0,0,0,0,0.120405394635155,0,0,0.120080379020392,0,0,0,0,0
NEO,0,0,0.430961834899425,0.317216103682743,0,0,0,0,0,0,0,-0.0000000000000000138777878078145,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133758
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00332764280630097
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13669779289495
VIX.INDEX,0,0,0,0,0.0000104738253624649,0,0,0,0,0,0,-0.00000355493461244748,0,0,0,0,0,0,-2.40586566403471,0
