,BTC,ETH,XRP,EOS,LTC,BCH,TRX,XLM,BNB,BSV,ADA,XMR,MIOTA,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.115814101843847,0,0.0271555956381133,0,0.1389176103266,0,0,0.044782635264044,0,0.0353699617687897,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.129464283798166,0.0682294367630316,0.225551114754765,0,0,0,0,0.200845925963634,0,0,0,0,0,0,0,0,0
XRP,0,0.107380175972436,0,0.078278246128619,0,0.0676352400492788,0,0,0,0,0.15451004313018,0.0269471095631813,0,0,0,0,0,0,0,0
EOS,0,0.192037204261708,0,0,0.186860356173639,0.0379440548169307,0,0,0,0,0.249537966563805,0,0,0,0.0239714500081241,0,0,0,0,0
LTC,0,0.164877337549154,0,0.282622167355483,0,0.0969754874533549,0,0,0.0346903099665541,0,0.00527545465797926,0,0,0,0.0852898093154362,0,0,0,0,0
BCH,0,0.108102861660626,0,0.153230682304551,0.227587772123083,0,0.0282720599621416,0,0,0.286330940143438,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0.204131484924622,0,0,0,0,0.0691057625225844,0,0,0,0.239893332731812,0,0,0,0,0
XLM,0,0.225195956194664,0,0.0395912163550101,0,0.162209457661435,0,0,0,0,0.0487186796669886,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.254222613034265,0.195943433645971,-0.0393213226969785,0.172995656141397,0,0,0,0,0,0,0,0.143491685689795,0,-0.150056524856472,0,0,0
BSV,0,0,0,0.0195207936806563,0,0.460660509111445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.287680314011813,0,0.15007022721763,0.140284671965518,0.0690717258721948,0,0,0,0,0,0,0,0,0.0494077135445558,0,0,0,0,0
XMR,0,0.138971188581659,0,0.157664772322559,0,0.0172442299728297,0,0,0,0,0,0,0,0.234102791936056,0.188884411507586,0,0,0,0,0
MIOTA,0,0.0567663703754495,0,0.35055018191643,0.0368841570544573,0.110538872269698,0,0,0,0,0,0,0,0.036933040374892,0,0,0,0,0,0
DASH,0,0,0,0.308356946153909,0,0.138824458711592,0,0,0,0,0,0.072475919342957,0,0,0,0,0,0,0,0
NEO,0,0.480125255071331,0,0.107536401760595,0.0486198462107511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.00240588537106224,0.00277895175588162,0,0,0,0,0,0,0,0,0,-0.00635557147720621,0,0,-0.121948083105217
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,-0.0000000780499247384533,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10649368081406
VIX.INDEX,0,0,0.0000020626484761985,0,0,0.0000133799815298095,0,0,0,0,0,0,0,0.00000000000000000000042351647362715,0,0,0,0,-2.68577743113097,0
