,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0,0.0148425701983119,0.00311696953104244,0,0.242851549086597,0,0.338430354182649,0,0,0,0,0,0,0
ETH,0,0,0.0246704543033133,0.053830084837761,0.116385340399646,0,0,0,0.181408445346779,0.123074965440992,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.00557480499078789,0.0325175842601536,0.125900090180844,0.200757498886146,0.0418886880399073,0.0417440068393674,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0457432415815892,0,0,0,0.134036784084705,0,0.00855949496797762,0,0.216130169734922,0.00738577910612906,0,0,0,0,0,0
LTC,0,0,0,0.220785170880816,0,0.00612800368667264,0,0,0.112147248814087,0,0.154007477691793,0,0.0155101631282766,0,0.113944564677901,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0.0921993171944076,0.175430625332517,0.0429899620501686,0,0.117740184976919,0.0736552701395815,0,0,0,0,0
ADA,0,0,0.120645948645324,0,0,0,0,0.305357330642047,0.11781624332146,0.0744433245716394,0,0.0682427611524541,0,0,0,0,0,0,0,0
XLM,0,0,0.23693893363789,0,0,0,0.101025192698103,0,0.00760516730867017,0.106803292673755,0.157069744534349,0.103691682869642,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0292631280922415,0,0.110730119642537,0,0.175163348176078,0,0,0.0888353949822916,0.255697234627854,0.0194198281018353,0.11591374928719,0.0321207628034847,0,0,0,0,0,0
NEO,0,0,0,0,0.0576580599420266,0.013323327645496,0,0.229344704600585,0.376442115030822,0,0,0,0,0,0.00333720032280794,0,0,0,0,0
XMR,0,0,0,0,0.0880175868443648,0,0,0.130695134222454,0.0121135531206629,0.0703863679331246,0,0,0.336483354297444,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0759440530207655,0.257729958026239,0.184106084037367,0.0925656925092216,0,0,0,0.0486457521139971,0,0,0,0,0,0
DASH,0,0,0,0.0139566185033424,0,0.0287227001526806,0,0.100647162088342,0.173938505083273,0,0.139785156673355,0,0,0.0478634533571451,0,0,0,0,0,0
TRX,0,0,0,0.344407301312863,0,0,0,0,0.176550623228037,0,0.108821645989405,0.0276752337347027,0,0,0.0639692872687576,0,0,0,0,0
ETC,0,0,0,0.00600141098365945,0,0.13044386078236,0.0187391338033984,0.230392501533243,0.0861812978584948,0.171942578503663,0,0,0,0.0631996627933074,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194705559505428,0,0,0,0,0,-0.0375189221400941
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0952329798496386
VIX.INDEX,0,0,0,0,0.0000000000000000000067762635780344,-0.000332722558597425,0.000141072476209261,0,-0.000320246969413348,0,0.000547716849330308,0,0,0.000147632035721512,0,0,0,0,-2.99534832544602,0
