,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XLM,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0169016237268001,0,0.269465495931608,0,0,0,0.0248299225909271,0.00000000000000000173472347597681,0.00215026171604252,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0956528213727516,0,0,0,0.0303117548094089,0,0,0,0,0
LTC,0.34862155063607,0,0,0,0,0.00821625145004174,0.0000000000000000000135525271560688,0.0298881750750849,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0.0474159622823008,0,0,0,0,0,0.182800853171908,0,0,0,0,0,0,0.0463154570606593
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0.184364100275802,0,0,0.108593765382887,0.0196958433306661,0,0,0,0,0.0412205947777774
XEM,0,0,0,0,0.183044004791082,0,0,0.210019747386242,0,0.190997023327227,0,0,0,0,-0.121709887141936
DGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0.00000000000000000010842021724855,-0.0203495626330571,0.00760122146988389,-0.0312684977939709,0,0,0,0,-0.0509916829392404
CVIX.INDEX,0,0,0,0,0,0,0,0.0000000613356718769784,0,0,0,0,0,0,0.0937286896543406
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000163880449377043,0,0,0,0,-0.112827397039246
VIX.INDEX,0,0.0000190486067287269,0,0,0.0000270588006434646,0.0000190074926407809,0,0.0000374845794630431,-0.00000374473004567915,0,0,0,0,-2.45004059536661,0
