,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0910936492764583,0.03504952534547,0,0,0,0,0,0,0.0206429394939401,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.115299666222569,0.0425541312650114,0,0,0,0.127295107351345,0,0.162357775083933,0,0,0,0,0,0,0,0,0,0
XRP,0,0.113512042947563,0,0,0,0,0,0.368486128317928,0,0,0.145714032693604,0,0,0,0,0,0,0,0,0
BCH,0,0.417897718448556,0,0,0,0,0,0.115201824389725,0,0.0529598798120966,0.0518523966376712,0,0,0,0,0,0,0,0,0
EOS,0,0.254243495909796,0.0994441131776583,0.0363232125649178,0,0,0,0.116643417226332,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0,0,0,-0.0222971948459608
XLM,0,0,0.169140167401305,0,0,0,0,0.338757292827022,0,0.0752385689003484,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0950094550288708,0.028453499193469,0.0601062149203324,0,0,0,0.116695126812104,0,0,0.174446669843836,0,0,0,0,0,0,0,0,0
ADA,0,0.124609412248168,0.074085331086177,0,0,0.298002438389832,0,0,0,0.0766452494100727,0,0,0,0.16746193123247,0,0,0,0,0,0
XMR,0,0.438040573689764,0.071026182269264,0.0340837524656922,0,0,0,0,0,0,0.0641048315917386,0,0,0,0,0,0,0,0,0
TRX,0,0.463762897817907,0,0,0.071384797607247,0.016800943511228,0,0.179695712144743,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.0405160916143126,0,0,0,0.0911328019285148,0,0.199009727797267,0.114471216416912,0,0,0,0.440049438744053,0,0,0,0,0,0
DASH,0,0.035761582912644,0.119839942812773,0,0,0,0,0.0355571880837147,0,0.056328478861553,0,0,0,0,0,0,0,0,0,0
BNB,0,0.108697832245896,0.0174305972348453,0.00382596281256516,0,0,0,0,0,0.124131037274827,0,0,0,0,0,0,0,0,0,0
NEO,0,0.104219521928212,0,0.00348751048927867,0,0,0,0.180739747747592,0,0,0.26731769046863,0,0,0,0,0,0,0,0,0
ETC,0,0.26201942057449,0.0382394256692593,0,0,0,0,0.0655165622945814,0,0,0.0273139153344913,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125866069804682
CVIX.INDEX,0,0,0.000000520492531531307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192967180188411
DXY.INDEX,0,0,-0.00632896409134187,0,0,-0.00058444074416224,0,0,0,0,0,0,0,0,0,0.0250838360856916,0,0,0,-0.00762698643607887
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727155429603672
VIX.INDEX,0,-0.0347877465130401,0,0.0103122601240132,-0.00536767789394069,0,0,0,0,0,0,0,0,-0.00849673654591392,0,0,0,0,-3.31978182145983,0
