,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0444196163752543,0,0,0.0143547086967548,0,0.0163298394592505,0.0429000434119057,0.216725250817468,0,0.125610628222949,0.0800117919438895,0.0379196729375512,0,0,0,0,0
ETH,0,0,0.0170704552613985,0.0478452496227123,0,0,0.130117144616464,0.00203751308218211,0.210658618328256,0,0.0788339744299324,0,0,0,0.0625293314388308,0,0,0,0,0
XRP,0,0,0,0,0,0.0155958495170284,0,0.0722379940745796,0,0,0,0,0,0.330214997063121,0.144301165121201,0,0,0,0,0
BCH,0,0,0,0,0.0529812627039886,0,0,0,0.0982789676398799,0,0.103768865832769,0.160273447564641,0.0080246855490088,0,0.0662845118469778,0,0,0,0,0
LTC,0,0,0,0.0154616750785761,0,0,0,0,0,0,0.174379801799576,0,0.00598525889538873,0.1544724985868,0.155048819863976,0,0,0,0,0
ADA,0,0,0.163036716374879,0,0,0,0,0.239439241845903,0.142100925713168,0.0525255401950294,0.0497354322536059,0,0,0.0320587418116999,0,0,0,0,0,0
NEO,0,0,0,0.13545180819416,0,0,0,0.0269827264669029,0.0813904115073244,0,0.0819264755981389,0,0.239167746471087,0,0.0737700052926032,0,0,0,0,0
XLM,0,0,0.233749320336011,0,0,0.0486555901159866,0.00625703775579202,0,0.130515050001151,0,0,0,0,0.121864949355154,0.0244046834041863,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.131676863478848,0,0.0250815343261295,0.179167139075148,0,0,0.00000000000000000693889390390723,0.275921129816066,0,0,0,0,0
XEM,0,0,0,0,0,0.0984545368542866,0.112140615169644,0,0.262301343708453,0,0,0,0,0.207079308880346,0,0,0,0,0,0
XMR,0,0,0,0,0.191525715315227,0,0.247825892626114,0,0.0282580439467498,0,0,0.282615973333932,0.0719807396355921,0,0,0,0,0,0,0
DASH,0,0,0.09720027164076,0.268877003982969,0,0,0,0,0.112206271735105,0,0.0892195866471492,0,0,0.122675276308185,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.122662567457858,0,0.17887320385935,0,0.170972746609822,0,0,0.148753406017229,0.14753655150139,0,0,0,0,0
TRX,0,0,0.385493390347885,0.0339995530406159,0,0,0,0.062777752649659,0.104794933637461,0.0654848779971913,0,0,0.144994553716044,0,0,0,0,0,0,0
ETC,0,0,0.154902625824981,0,0,0,0.18618857887289,0,0.278379454552803,0,0,0,0,0.0837674686180296,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.00218430909923145,0,0,0,-0.00556115698307712,0,0,0,0,0.0235406723637812,0,0,0,0,0,0,0,-0.0492909169621328
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342994849809874
SPX.INDEX,0,0,0,0,0,0,0.00000153525529414633,0,0,0,0,0,0,0,0,0,0,0,0,-0.054465701550537
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
