,BTC,ETH,XRP,XEM,ETC,LTC,MIOTA,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0122126202066723,0,0,0.094196665340916,0,0,0,0,0,0.0479124188713464,0,0,0,0,0
ETH,0,0,-0.0516632263190209,0,0.155498152581295,0,0,0,0,0.140278619626464,0,0.0172961377047076,-0.0161530586844092,0,0,0,0,0,0,0.0330717216856062
XRP,0,-0.134241522854228,0,0,-0.256649769139368,0,0,0,0.0126799141544084,0,0.435618613227747,0,0,0.0501654424496873,0.0847080854061327,0,0,0,0,0
XEM,0,0,0.171847099404043,0,0,0.252873721308822,0,0,0,0.100386593853098,0.0404940115333484,0.179312471843674,0,0,0,0,0,0,0,0
ETC,0,0.220658531591617,-0.107211376904761,0,0,0,0,0,0,0,0,0,-0.0104286266484325,0,0.314900157525422,0,0,0,0,0
LTC,0,-0.240017659009309,0,0.00669843959973245,0,0,0,0,0.445828452466104,0,0.0122816382334738,0.0431882179767234,-0.0658894919541502,0,0.215102423513354,0,0,0,0,0.0599241873957574
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.243537623187613,0,0,0,0,0,0.133228611844061,0,0,0,0,0
XMR,0,0,0,0,0,0.137054874196817,0,0.352776059845177,0,0,0.121703823688344,0,0,0,0,0,0,0,0,0
ZEC,0,0.250880800027937,0.0125134418630914,0,0,0,0,0,0,0,0.00655921624827927,0.057117967337661,0,0,0.0561146233933057,0,0,0,0,0
XLM,0,0,0.472884419037781,0,0,0,0,0,0.142554246225905,0,0,0,0.0341599091771649,0,0,0,0,0,0,0
DOGE,0,0,0,0.152216760617799,0,0.249961100651198,0,0,0,0,0.0885809606716566,0,0.0796213238817593,0,0.0504919152040106,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.22784777267345,0,0.343377617195136,0.321875704337449,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.198635384261857,0.212173919581645,0,0,0.155148968483628,0.158048902054017,0,0,0.0254967240850461,-0.0342040337132325,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0036221352415274,0,0,0,0,0,0,0,-0.000978114924783476,0,-0.000851915099697403,0.0280616056120396,0,0,0,0,-0.0509229315646839
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0.00361389296079592,0,0,0,0,0,0,0,0,-0.000135810151234395,0,-0.00278273972542854,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0.0000493789090111109,0,0,0,0,0,0,-0.0144251196730388
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
