,BTC,XRP,ETH,BCH,ADA,LTC,XEM,XLM,TRX,MIOTA,DASH,EOS,XMR,NEO,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.0548776979107647,0.027847127821621,0.0686829024151526,0,0.00588917910475137,0.0576154233426078,0.0449380564651606,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.155816819856119,0,0.104929073946868,0.05006063496406,0.0104140410885886,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0732322640718844,0,0.183075947428186,0,0.0536943898367173,0.0507088626060164,0,0,0.0500545745771459,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,-0.000000000000000000216840434497101,0.00501123584904879,0,0,0,0.375566669401219,0.0826450357129898,0,0.018677878708999,0.27189284269163,0,0,0,0,0
ADA,0,0.212198924163606,0,0,0,0,0.0433242593361045,0.465397399511601,0.000000000000000000433680868994202,0.0905544706255053,0,0,0,0,0,0,0,0,0,0
LTC,0.190506166167093,0,0.377470778561085,0,0,0,0.233753286635151,0,0,0.0456038421298626,0,0,0,0,0,0,0,0,0,0
XEM,0,0.108078330904926,0,0,0.0470398724698096,0.050412175019966,0,0.262038962750499,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,-0.000000000000000000433680868994202,0,0,0.343588885458846,0,0.00140349137823505,0,0,0.0555920411170378,0,0.087596943076953,0.14641235432798,0,0,0,0,0,0,0
TRX,0.366880197221888,0,0.504568624571031,0,0.114123700924573,0.0358233908839971,0,0,0,0,0,0.00628823781712139,0,0,0,0,0,0,0,0
MIOTA,0,-0.0431470172728887,0,0,0.0954883132844524,0.197198623950013,0.136339667649244,0.146899348970406,0,0,0,0.00000000000000000173472347597681,0.0747632610928232,0,0,0,0,0,0,0
DASH,0,0,0,0.0887333734507908,0,0.11911091011837,0.00466351083806834,0,0.045213340125263,0,0,0,0.07497274275277,0,0.00425743407459672,0,0,0,0,0
EOS,0,0,0,0.0433296707282695,0,0.10371860236405,0,0.0787366581642935,0.128735576367987,0.180117761657846,0,0,0.0259369721202435,0.233943674407673,0.00946936793960478,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.151118956609861,0,0.0744843144411603,0.176950536918418,0.0236800559561259,0,0.0733009732176373,0.0330579645627426,0,0,0,0,0
NEO,0,0.0853443605178027,0,0.0438922957766622,0,0,0.0211432894365317,0.228800461589264,0,0,0,0.0354994365051805,0,0,0,0,0,0,0,0
BTG,0,0,0,0.533202975135778,0.0155840024862404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00696116310585423,0.00223936906582037,0,0.0100408347857396,0.00551110077976389,0,0,0.0109428015360928,0,0,-0.00537826905260178,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00291123334717188,0,-0.00101879323096299,0,0,0,0,0.00375151696062225,0,0,0,0,0,-0.000143035365268073,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0.000000152628622979923,0,0,-0.000000195359314766774,0,0.0000000969817020578255,0,0,-0.0000000337501480449092,0,0,0,0,-0.015973411015108
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
