,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.409362707600449,0.00187476359678571,0,0.0469727893456324,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,-0.0922563807505525,0,0.0442824759408253,0.179023316836743,0,0,0.140786530819855,0,-0.155916702042029,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.604579866613217,0,0,0,0,0,0.00348073224783602,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0764401301119692,0,0,-0.0126115089929861,0,0,0,0,0,0,0,0,0,0,0
XEM,0.482738991505384,0,0,0,-0.0220219917309919,0,0,0,0,0.295223508905359,0.0288412035061751,0,0,0,0,0
DOGE,0.243309412655725,0,0,0.0550885066828459,-0.0105823322118324,0,0.0372829896344984,0,0,0,0.0409620096067399,0,0,0,0,0.0378180764725325
XMR,0.706403800174561,-0.111140534031252,0,0.0000000000000000138777878078145,-0.0188265078282614,0,-0.0684946777407757,0,0,0,0.0423647190405596,0,0,0,0,-0.0693770412895009
XLM,0,0,0,0,0,0,0.194740588037601,0,0,0,0,0,0,0,0,0
DGB,0,0.163923793525989,0,0.182425097414396,0,0,0.0928424888148224,0,0,-0.0422357965623314,0,0,0,0,0,-0.0283383011163185
BV010082.INDEX,0,0,0,0,0.00242960898549199,0,0,0,0,0,0,0,0,0,0,-0.0624650585360373
CVIX.INDEX,0,-0.00000209693841574199,0,0,-0.0181933931060255,0,0,0,0,0,-0.00000894040723546211,0,0,0,0,0.231251648455726
DXY.INDEX,0,0,0.0000000828107903950666,0,-0.000769129843046032,0,0.0000000174994430989571,0,-0.0000000999239554842611,-0.0000000607764665179048,0,0,0.0716616377305394,0,0,0
SPX.INDEX,0,0,0,0,0.00000132561153411935,0,-0.00000113660607097772,0,0,0,0,0,0,0,0,-0.0609581206109367
VIX.INDEX,0,0,0,0,0.0505835367683963,0,0,0,0,0.00000186128229409043,0,0,0.445938030742564,0,0,0
