,BTC,ETH,XRP,BCH,ADA,NEO,XLM,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0116868671006798,0.00363676507418344,0,0.00719056086661154,0,0.0856302118259752,0,0.0643042106617151,0,0.0148259289357955,0.0356092622452151,0,0,0,0,0,0
ETH,0,0,0,0.0114516898509539,0,0.0788859207447473,0,0.219982645501538,0.0412675042571052,0,0,0,0,0.0299371871861177,0.101769251024657,0,0,0,0,0
XRP,0,0,0,0,0.162078276356306,0,0,0,0,0.113290719720476,0,0,0,0.0498831353630528,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0744894793589724,0,0.088963463248672,0.149805452585667,0.0702621180516174,0,0.280380024355467,0,0,0.000202768732082761,0,0,0,0,0
ADA,0,0,0.158198301706558,0,0,0,0.432235437511658,0,0,0.069897075402522,0,0,0,0,0,0,0,0,0,0
NEO,0,0.400531340834164,0,0.141556061820269,0.032929079344988,0,0.126476212604712,0,0,0,0,0,0,-0.0167301079917577,0,0,0,0,0,0
XLM,0,0,0.11172252655199,0,0.2978027072348,0.00115402495226417,0,0,0.0283714764303883,0,0.163425459071092,0,0.114774323406108,0,0,0,0,0,0,0
LTC,0.0506765237477208,0,0,0.127259599304181,0,0,0,0,0.012210417931149,0.0961568656028158,0.035693857421854,0,0,0,0.133464003535649,0,0,0,0,0
EOS,0,0,0.0577002255761561,0.227382212149991,0,0,0.181975107301805,0.170036979640341,0,0.00000000000000000173472347597681,0,0.024230426898438,0.113744566000535,0.0346216146338393,0,0,0,0,0,0
XEM,0,0,0.0726399210058305,0.0774868300733994,0.0776902167463044,0,0.273282214784966,0.0700601131081984,0.0232670806817837,0,0.0567023869039563,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.0347517566313866,0,0.145859773629366,0,0,0,0,0.411819695994692,0,0,0,0,0
DASH,0,0,0,0.222125551571273,0.0204859713435778,0.0369950071736566,0,0.0915729811800575,0.0261758364045403,0.0000000000000000000542101086242752,0,0,0.0673665647383083,0.0986567372211943,0.0309286171188685,0,0,0,0,0
XMR,0,0,0,0,0.0227874397893643,0.0207018880800314,0.129738881884745,0,0.0569112820232097,0,0.037294621624514,0,0,0,0.291601165859528,0,0,0,0,0
TRX,0.105307663197202,0,0,0.181540558387392,0.132721366303652,0,0,0.0262316441408197,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.110352258935957,0.0501965575905813,0,0,0.0000000000000000000067762635780344,0,0.0591022215354131,0,0.181459389667843,0.0632851836918935,0.0385529958607384,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00557948591073828,0,0,0,0,0.00285551348475506,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.00330025747228541,-0.000416219130702154,0,0,-0.00111732416694098,0,0,0,0,0,0,0.0039675144078299,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
