,BTC,XRP,ETH,LTC,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.3820794899331,0,0,0,0.0775411804289469,0,0.00316327025172842,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.130607602834427,0,0,0,0,0,0,0
LTC,0.598271250113235,0,0,0,0,0,0,0,0.0114332659171915,0,0,0,0,0,-0.0037090322971699
DASH,0.262550016320316,0.0951546449508276,-0.426386091312259,0,0,0,0,0,-0.00712568333318724,0,0,0,0,0,0
DOGE,0.459555810897352,0,0,0.0817853499735422,0,0,0,0,0.0434646449249027,0,0,0,0,0,-0.00745795533405117
XLM,0,0,0,0.19460993141436,0,0,0,0,0.0280669800114018,0.0987716254924299,0,0,0,0,0
XMR,0.501326323807238,0,0.183483594848711,0,-0.0799915355107753,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.326756464783859,0.161567885900297,0,0,0,0,0,0,0,0.0728596474715623
DGB,0.407055020617682,0,0,0,-0.0238103520644962,0,0.133188687182921,0,0,0,0,0,0,0,0.257701313944559
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00689257285348078,0,0,0,0,0,-0.0313582855273794
CVIX.INDEX,0,0,0,0,0,0,0,0,-0.0000001984954596331,0,0,0,0,0,0.0290475126762906
DXY.INDEX,0,0,0.00285922082410992,0,0,0,0,0.00220525410465904,-0.000419961280606672,0,0,0,0,0,-0.0142335476126797
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992739645400693
VIX.INDEX,0,0.0002729859353114,0,-0.000181330322653471,0,0,0,0,-0.0000376621155813821,0.0000251523361773456,0,0,0,-3.87398680199794,0
