,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0345372400506951,0.0921122408192531,0.271825788755815,0,0.228846632082123,0.0621066775157428,0,0,0,0,0,0
XRP,0.232887179723453,0,0.0105986964067988,0,0.30473491030122,0,0,0.0168461425484562,0,0,0,0,0.0327763279388552
LTC,0.454387453679642,0,0,0,0,0.0594858621546571,0.0255577664332524,0.0186073712734664,0,0,0,0,0
DOGE,0.44761192073824,0,0.116720838462603,0,0,0.0904123778011001,0,0.013106334388185,0,0,0,0,0
XLM,0,0.780634726263719,0,0.121762008050272,0,0,0,0.0213516297284292,0,0,0,0,-0.035029337935024
DASH,0.638285625231006,0,0.0910956185966325,0,0,0,0,0,0,0,0,0,0
XMR,0.69519202254929,0,0.0535968459233785,0,0,0,0,0,0,0,0,0,0
DGB,0.636548104933022,0,0.0000000000000000277555756156289,0,0,0,0,0,0,0.252208243311308,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0391219973158914
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742286855842346
VIX.INDEX,0,0.0000000364846666119863,0,0,0,0,-0.0000000329545052692054,-0.0000000171720742914768,0,-0.00000000000000000000000661744490042422,0,-4.4658857273359,0
