,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0792529563656798,0,0,0,0.00510293972711352,0,0,0.0111887580982202,0,0.0787388914756812,0.110201759563912,0,0,0,0,0,0
XRP,0,0,0,0.0787920058277235,0,0.0910974214069672,0,0,0,0.156582471315596,0.0482671741778768,0.0410105495094292,0,0,0,0,0,0,0,0
ETH,0,0,0,0.148724656928894,0.0396162835062716,0,0,0,0,0,0,0,0.0780968279830538,0.177213896152326,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.0142576587467674,0,0.0395980675584442,0.30800270175993,0,0,0.291500821710851,0,0,0,0,0,0
EOS,0,0,0,0.0214757283424415,0,0.165586034328997,0.089192487741743,0,0,0.244694600342754,0,0,0,0.123008428616846,0,0,0,0,0,0
XLM,0,0,0.245520047104433,0.10528416239596,0.12179081791177,0,0,0,0,0,0,0,0.129383767984312,0,0,0,0,0,0,0
LTC,0,0,0.269524770360779,0.0257527882258834,0.091096472132797,0,0,0,0,0.238545376733711,0.0290647540248172,0,0,0.0338686659533213,0,0,0,0,0,0
BSV,0,0,0,0.379603442939045,0,0,0,0,0,0,0.211834745842537,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.196128966566528,0,0,0,0,0,0.0947181441240699,0,0.0766103929842988,0,0,0,0,0,0,0,0
ADA,0,0,0.0896165120940704,0.252399273444132,0.162940632863595,0,0.00853204609545858,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.142669939216376,0.10937753809507,0,0,0.0140330790918657,0,0,0,0.00165240573927673,0,0.280073660569617,0,0,0,0,0,0
BNB,0,0,0.100601109727162,0.000000000000000000867361737988404,0.0628929022130472,0,0,0,0,0.0897465906869336,0.064520706866846,0,0,0.0393237356250809,0,0,0,0,0,0
XMR,0,0,0,0.161560494120825,0,0,0,0,0,0,0,0,0,0.341043021301641,0,0,0,0,0,0
DASH,0,0,0.177705152975806,0.108359537672695,0.150490462788408,0,0,0.00222033000760596,0,0.130816855523559,0,0,0.0946349734684923,0,0,0,0,0,0,0
XEM,0,0,0,0.130303404393323,0,0,0,0,0.0279736549956582,0,0,0,0.160693958741216,0.106815590105932,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172156439133758
CVIX.INDEX,0,0,0,0,-0.000000374699595234977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032243042844103
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.0000000563183527860335,0,0,0,0,0,0,0,0,0,0,0,-0.118725361978453
VIX.INDEX,0,0,0,0,0,0,0,0.00000460888796093465,0,0,0,0,0,0,0,0,0,0,-1.24427261522718,0
