,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0591143034055288,0.0225032668756262,0,0.0354687560614649,0,0.0153605631175316,0,0.00419846288156406,0,0,0.148128031256298,0,0,0,0,0,0
ETH,0,0,0.170605697093627,0.119293814033902,0.0337995956433935,0,0.0375067797576545,0,0.0830215596313929,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0759854679786237,0.0763936230206189,0,0.113655712327338,0,0.0530179624462393,0,0,0,0,0.241756218044099,0,0,0,0,0,0
BCH,0,0,0,0,0.0314702937665046,0,0.0405016016169744,0.169034785871007,0.225097167388887,0,0,0,0.0539981523728734,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.177151805197044,0.0701454500880185,0.131668875021758,0.0574700362498438,0,0,0,0,0,0,0,0,-0.0221360710188815
LTC,0,0,0.137756793381081,0.201389643115974,0.0354415890261076,0,0,0.0080159362817893,0.017856793058559,0,0,0,0,0.0775341493305095,0,0,0,0,0,0
ADA,0,0,0.154858451825952,0.0261869806099968,0.110201055736724,0,0,0.243025667236235,0.0910846343917049,0.0788321078631945,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.106226209750383,0,0.281396968338924,0,0.0412942785207195,0.0144864005457976,0,0,0,0.225152140875162,0,0,0,0,0,0
MIOTA,0,0,0.0880558998143371,0.331672347629368,0,0,0.254805913865891,0.00497352563411717,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.158230745057317,0,0.0692452007132631,0.326564250044781,0,0,0.198263947147807,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0641795968284794,0.153162572260507,0,0,0,0.208212376403238,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.207560489632592,0,0,0,0.0725441880361472,0.122845463054885,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.187348138591388,0.0379347348037652,0,0,0.0598343530768202,0.0727305567298033,0.0769140897409685,0,0,0,0.100160114795748,0,0,0,0,0,0
XEM,0,0,0.107452438886836,0.0372367098450001,0,0,0,0.209909219483314,0.208383971628784,0.0139503202261126,0.0990680908143265,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0817610851446332,0.0236883471799212,0,0.122021257002062,0,0.0927313454913831,0,0,0,0,0.0524798273098135,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0264049582034627,0,0,0,0,-0.00436614260690892,0,0,0,0,0,0,0,0,0,-0.105835396495556
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.000000213854625666373,0,-0.000000616234879557153,0,0,0,0,0,0,-0.000000113971319590853,0,0,0,0,0,-0.0789989337095219
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
