,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0804268656382464,0.0370641100187197,0,0,0,0,0,0,0.0207123690511994,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.170432716267091,0.0812030475501421,0,0,0,0,0,0.0992416533176284,0,0,0,0,0,0,0,0,0,0
XRP,0,0.211402355889489,0,0,0.143659821821852,0,0,0.130024378379708,0,0,0,0.330530994567209,0,0,0,0,0,0,0,0
BCH,0,0.198835292037758,0.056001079540181,0,0,0,0,0.169941557916056,0,0.112763001304736,0,0.0620294112753797,0,0,0,0,0,0,0,0
XLM,0,0,0.208052287350216,0,0,0,0,0.387667721717634,0,0,0,0,0,0,0,0,0,0,0,-0.00863342968146934
EOS,0,0,0.132157904229993,0.103867160566849,0,0,0,0.185254588542839,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0171106420510323,0.0534638373402063,0.23048238443122,0,0,0,0.0910155414694141,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0.187815773109596,0,0.260125771212331,0,0,0,0,0.0758514648144231,0,0,0,0,0,0,0,0,0,0
XMR,0,0.0292246805274384,0.100624736065302,0,0,0,0,0.0422928647746863,0,0,0,0.0747324655021438,0,0,0,0,0,0,0,0
TRX,0,0.406658129536081,0.00410862547648824,0,0,0,0,0.260992461856384,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.254335256742544,0.0297269476777327,0.0775047461036406,0,0,0,0.0338748777699854,0,0.0296834931910237,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.119620466240797,0.0321995494200783,0,0,0.176151980690932,0,0.0464557896785296,0.126574064105593,0,0,0,0.0837659649124437,0,0,0,0,0,0
BNB,0,0.0490833128420082,0.0370183245683813,0.0018804648426386,0,0,0,0.00162139108769454,0,0.127700619718955,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.262501531290828,0,0.00966016623537249,0,0.123228505317544,0,0,0,0,0,0,0,-0.0022149644244643
ETC,0,0.16956337344252,0.0586511560103121,0.0261790031402402,0.00957015185275033,0,0,0.0705897687240834,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270004233211024
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018547756353891
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808562133861394
VIX.INDEX,0,-0.000000344350320796149,-0.0000000000000000000000264697796016969,0,0,0,0,0,0,0.00000122959434388201,0,0,0,0,0,-0.356033321532277,0.124381403652884,0,-3.74176478653808,0
