,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,DOGE,XLM,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0464974033169667,0,0.109820066401706,0,0,0,0,0.0532962928902531,0.0547259371615155,0.00000902069490521756,0,-0.00476351701553686,0.00749695057436818,0,0,0,0,0,0
ETH,0,0,-0.0486907350571542,0,0.0473527412029574,0,0,0,0,0.159059146591625,0.0183381688868676,0,0,0,-0.000000000000000000433680868994202,0,0,0,0,0
XRP,0,-0.141623993386085,0,0,-0.030189409907135,0,0,0,0,0,0,0,0.434640230144082,0.0238028537845377,0,0,0,0,0,0
LTC,0,0,0,0,0,0.117083098532321,0,0,0.1576184573587,0,0.111352564296058,0,0.037255040482156,-0.00613588823130959,0,0,0,0,0,0
ETC,0,0.558570979302149,0,0.00892847990034482,0,0.0685191789107329,0.0110836986694768,0,0,0,0.0688160202004076,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0251706819730393,0.126935063962352,0,0,0,0,0.0321686421010862,0,0,0.190748610520817,0.0809835612714809,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0283624110256256,0,0,0,0.215149151883456,0.16129024827305,0.039976228776203,0,0.000000000000000000216840434497101,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.10410144249502,0,0.168224318893906,0.266291432575847,0,0,0,-0.0133149755309468,0,0.0727282691100493,0,0.0328330070836324,0,0,0,0,0
ZEC,0,0.332692101066225,0.062435172181077,0,0,-0.00000000000000000346944695195361,0,0,0.0561543509553999,0,0,0.0668320967103725,0.00796857173042416,0,0.0238427632854706,0,0,0,0,0
NEO,0,0,0,0.34542130931626,0.462489769663232,0,0,0,0,0.131643677791862,0,0,0,0.0225555377194576,0,0,0,0,0,0
DOGE,0,0,0,0.115152679976839,0.0369670685572667,0.256598510726147,0,0,0,0,0,0,0.0626390837961154,0.139874468397132,0,0,0,0,0,0
XLM,0,0,0.644582701336158,0,0,0,0,0,0.166603626228837,0,0.0443535272263783,0,0,0.0411110319139363,0,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0,0.017289629345161,0.358297019206634,0.350533029678419,0,0.0718398256110909,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0.00939747491576319,0,0,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169530925292145,0,0,0,0,0,-0.0148395960816123
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
