,BTC,ETH,XRP,BCH,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.113843571359214,0,0.0106516730329938,0.275183598142246,0,0.010454941900386,0,0,0.00308769819077253,0,0.0305016812345149,0,0.0168046638988025,0.0227295380009667,0,0,0,0,0
ETH,0,0,0.0294394793991286,0,0.141872664426789,0,0.0289008020998924,0,0,0.112461290921175,0,0,0.0513606178030081,0,0.0424811666223379,0,0,0,0,0
XRP,0,0.0427636825055021,0,0,0,0,0.0514322531089405,0.0910958256049996,0.024176653112417,0.13901027906116,0,0,0,0.0354994707478311,0,0,0,0,0,0
BCH,0,0,0,0,0.0358724970243897,0,0.134711764109167,0.0575246094822844,0,0,0.220763392797008,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0558717690311916,0,0,0,0.666796827001684,0,0,0,0.0672014837034587,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0082330293848165,0.205226006984959,0,0.0437060921876921,0,0,-0.000000000000000000867361737988404,0.0201085861015315,0.0434993616676037,0,0,0,0,0
NEO,0,0.349956561447783,0,0.254803501382887,0,0,0,0.0207554636033671,0,0,0,0,0.13508102203454,0.0775347199940284,0,0,0,0,0,0
XEM,0,0.0366821399004324,0,0,0.0429467230025141,0,0.0391990810960927,0,0,0.234128320828165,0,0,0,0.00656316066906996,0,0,0,0,0,0
XMR,0,0,0.0182286690680471,0,0.111479940223971,0,0.0611176202819493,0.118535398871784,0,0.0385286507122232,0,0,0.0432937255931712,0.00735776107910003,0.0402836600865256,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.283295381326781,0,0,0,0,0.182275261338438,0.0637823843443694,0.1230137925597,0,0,0,0,0
ETC,0,0,0,0.0656898921332454,0.368435683601706,0,0,0,0,0.103048436549188,0,0,0.0233047633534983,0.00160798738659048,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.0555922185941043,0.173050777902363,0,0.0650811014548218,0.248934059511865,0,0,0,0.116216552737502,0,0,0,0,0
XLM,0,0,0,0,0,0,0.156894282060049,0.0737762824771144,0,0.325955073998238,0.23505299347579,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.127728456495629,0,0.135192597941578,0.0161882426445601,0,0.0603992812306044,0,0,0.273325409617422,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.000797293057712295,0,0.0140776104283554,0,0,-0.0112992655760323,0,0,0,0,0,0,0,0,0,-0.0370318081525108
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.0000000000000000000016940658945086,-0.000790041493441889,0,0,0,-0.000581203339231502,0,0,0,0,0,0,-0.0373974071740433
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
