,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0351160063646029,0,0.0907983748383614,0.00395525278652912,0,0,0.15517480255803,0.00170105795370357,0,0.0108379875478293,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.151172474289776,0.0144330902406751,0,0,0.178613645916102,0.0328163430626166,0.00130157676311873,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0748443854070548,0.117868623399234,0,0,0.136972969035355,0.101215419788379,0.08435875418317,0,0,0,0,0,0,0,0,0,0
BCH,0,0.105328967947303,0,0,0.196581574473501,0,0.0307747619228305,0,0.32084822132947,0.0530698776708036,0.0136722394482312,0,0,0,0.030048499302577,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.396020164201206,0,0.233250156261646,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0.115529840610462,0.237378240780284,0.0303962622660561,0,0,0.0363188989024809,0.022532120859124,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.135009134923663,0,0,0.363489353841329,0,0.0267665917617529,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.182867990475756,0.119936594646672,0,0.165920013802552,0,0.0669605935324444,0.086880443596577,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.223832006282712,0.260268234641817,0,0,0.0164422514202767,0.194151696741707,0,0,0,0.180901359983879,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.215450521853654,0,0.189076114753516,0.255466969229384,0,0,0.0742315457984868,0,0,0,0,0,0,0,0,0.0501274377162568
NEO,0,0,0,0.111197693853929,0.121042034143051,0,0,0.120079621941745,0.0992049671208668,0.126923432513083,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.28012788572492,0,0,0.0878365195874558,0,0.0517739077919547,0,0.0134176011457604,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.161231500808186,0.153952887677937,0,0,0.0819073321563211,0.0301428847295204,0.0272553831415517,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.0260574717268299,0,0,0,0.21253036379007,0.0863968358849085,0,0,0,0,0,0.187577315746517,0,0,0,0,-0.00733521978995185
ETC,0,0,0,0.16741028575666,0,0,0,0,0.176110456092435,0.144073679452403,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0304182577029587,0,0,0,0,0,-0.0143216682261594,0,0,0,0,0,0,0,0,-0.0938149490834481
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0.00476940379401294,0,0.0122202781570871,0,0,0,0,0,-0.0129205595873681,0,-0.00302812359475242,0.0000000000000000000135525271560688,0.00521869013290123,0,0.0149214628314367,0,0,0.0140227755919675
SPX.INDEX,0,0,0,0,0,0,0,0,0,-0.000000102453943414629,0,0,0,0,0,0,0,0,0,-0.0497085331131201
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
