,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,ETC,TRX,XMR,NEO,DASH,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.215930001013947,0.00278789424384507,0,0,0,0,0,0,0.072393942658396,0,0,0,0,0,0,0,0
ETH,0,0,0,0.262635400215921,0.131401890953386,0,0,0,0.0199824230913763,0,0.129292236449922,0,0.0106137987512815,0,0,0,0,0,0,0
XRP,0,0,0,0,0.134618433941797,0,0,0,0.183561042362944,0,0.02548848918994,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0808805787094899,0,0,0.126520535400064,0.0329606098490453,0,0.250885443150646,0.151744520196616,0.022896595332231,0,0,0,0,0,0,0
EOS,0,0,0,0.386152145673506,0,0,0,0.0443996608023518,0.152684065307202,0,0.0583952332730725,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.391579039694845,0.0331267429239119,0,0,0.0973374157360048,0.0975013513552399,0,0,0,0,0,0,0
LTC,0,0,0,0.394844556066316,0.0447402983420854,0,0,0,0.079915129237014,0.0444307704795598,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.19132099019663,0.179232540008266,0.194391823475781,0,0,0,0,0.132850976943548,0,0.0360532990990298,0,0,0,0,0,0,0
MIOTA,0,0,0,0.200884604129612,0.0998491260712161,0,0,0,0,0.0669656230908463,0,0,0.471425852343667,0,0,0,0,0,0,0
ETC,0,0,0,0.180531582219816,0,0,0.0963899465776698,0,0.0868999010412042,0,0,0.0568283213761465,0,0,0,0,0,0,0,0
TRX,0,0,0,0.377661230073315,0.11071217541632,0.0997032000634732,0,0.0255515544133604,0.137265160367948,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.481097139052816,0,0,0,0,0,0,0,0,0.288398509010489,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.185681419026111,0.205710267934518,0,0.114056726848258,0.258552930610745,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0913870979578068,0,0.121849478794989,0,0.0171509289316118,0.0953436985409777,0,0,0,0.224282399104278,0,0,0,0,0,0,0
BNB,0,0,0,0.19458366651223,0.0261171326093592,0.0425443405489015,0,0.0799569600508138,0,0.197725451087267,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669698
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0.000000467076545901077,0,0,0,0,-0.00000117732913232983,0,0.031695753368123,0,0,-0.010641150858587
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049709023327012
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
