,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.170084359979375,0,0.0572327138435405,0.0568044907847077,0.138088459984475,0,0,0.0224164865313111,0,0,0,0,0,0
ETH,0,0,0,0,0.092272861203656,0,0.0132790261575151,0,0,0.0867835288054278,0,0,0,0.061413223086812,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.0297581766127246,0.246323197343645,0.0248816726494155,0,0,0,0,0.222890535022736,0,0,0,0,0,0.0649263959176224
BCH,0,0,0,0,0.0109669124090267,0,0.136572747711427,0,0.166244489979222,0.0593776341206564,0.204521002034309,0,0,0.0200618590576036,0,0,0,0,0,0
LTC,0,0,0,0.0150188651159098,0,0,0,0.0196300216363115,0.0433349785482611,0,0.638205406266944,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.133590093973935,0,0,0.0685637402361578,0,0,0.184442786630407,-0.0000000000000000000135525271560688,0,0,0,0,0,0
XEM,0,0.241524111381318,0,0.0584174483137228,0.0223817829584798,0,0,0,0,0.100660230155756,0,0,0,0.176116439066628,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0.0268608009006093,0,0,0.0754301884681178,0.0805200139270169,0,0,0,0,0,0
NEO,0,0,0,0.094976780574199,0,0,0.232479335045922,0,0,0,0,0,0,0.214298700338932,0.243132741584196,0,0,0,0,-0.133543203241545
MIOTA,0,0.057282029993738,0,0,0,0.190877134401422,0.232235530369638,0,0,0,0,0,0.141296831517802,0,0.212061761271265,0,0,0,0,0
ETC,0,0,0,0,0.334571604532501,0,0,0,0,0.0615507466241117,0,0,0.0171309253944981,0.0089490543409683,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.0517667087292851,0.0478455068572672,0.0296419907799082,0.0120648421464915,0.103061414512304,0,0,0,0.168187256084847,0.190477353542481,0,0,0,0,0
XLM,0,0,0.404068988527632,0.0212159471070379,0,0,0,0.121227990232545,0.0349252284429499,0.123549233015906,0.295048528546335,0,0.100867107001358,0,0,0,0,0,0,0
EOS,0,0,0,0,0.0967571069861518,0,0,0,0.108947814077731,0.0392430830179947,0.00770214533119872,0,0.0380694937138996,0.0393881823067034,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.00496930008782556,0,0,0,0,0.018713722066132,0,0,0,0,0,0,0,0,0,0,-0.037418570559227
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,-0.00000239903303358946,0,0,0,0,0,0,0,0,0,0,0,-0.0309347600273796
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
