,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.0229537318971033,0.0247380910424023,0.0893477935500466,0,0.179438475047115,0.00383342769845401,0.225116781447977,0,0.0569667072636326,0,0,0,0,0
ETH,0,0,0.0436198631760322,0.0747979727926976,0.048037832530298,0.0120067411452419,0,0,0.16370923604772,0,0.148591752147015,0,0.00200644286848464,0,0.0516807019014328,0,0,0,0,0
XRP,0,0,0,0,0.0428783148093118,0.0232044259504458,0.0612120257732316,0.107195339042688,0.116424110326961,0,0.160061966820336,0.00457871821700225,0.0279155300613503,0.056753985369794,0,0,0,0,0,0
BCH,0,0,0,0,0.100438443120925,0,0,0,0.0627572520619547,0,0.0537537791278365,0.0239574491739664,0,0,0.124603648264582,0,0,0,0,0
LTC,0,0,0,0.0904541938687227,0,0.0285910241433377,0,0,0.134306807393015,0.0283698750646845,0.114112004280144,0.0793290755373931,0.0414028810558739,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.189402742050041,0,0.0983342578511856,0.0933100852432495,0,0.0493402213255651,0.0670897509400979,0,0,0,0,0
ADA,0,0,0.192241322414071,0,0,0,0,0.275321461921067,0.0973564977055128,0,0.0324674961440058,0,0,0.0939015677195238,0,0,0,0,0,0
XLM,0,0,0.213543797765998,0,0,0,0.16267280259902,0,0.138070984400734,0,0.109900605611313,0.0061106306279485,0,0.0661287845249807,0,0,0,0,0,0
NEO,0,0,0,0.0104931648691719,0,0.00196849012889819,0,0.124705258596834,0,0.333239433692795,0.155987504096462,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0464813896511962,0.138195306653071,0,0,0,0.0554767135665803,0,0.32626008512762,0.0482352247505435,0.090090851915696,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.448841791542388,0,0,0,0.206036369193673,0,0,0,0,0,0,0
TRX,0,0,0,0.193331387982935,0,0.287973847481858,0,0,0.149307147741523,0.0766460167007084,0.059955307989709,0,0,0.029874184704673,0,0,0,0,0,0.0176610301501316
DASH,0,0,0.0108884181631414,0.0407985502113582,0,0,0.00000000000000000173472347597681,0,0.214081710400844,0,0.1957847457626,0.0837040123542143,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.148265674030376,0.224839920184558,0.108438778495483,0,0,0.0963465551766177,0,0,0.150522388409325,0,0,0,0,0.0238765083352257
BNB,0,0,0,0,0,0,0,0,0.338920374294516,0.0034131738043657,0.0672957081065,0.0695998686284671,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461651338024421
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.000000544763743167143,0,0,0,0,0,0,-0.0789516609138369
VIX.INDEX,0,0,0,0,-0.0000281430266148498,0,0,0,0,-0.0000927506121629236,0.0000592694097776975,0.0000446028081978111,0,0.0000588061706026685,0,0,0,0,-4.90918417287841,0
