,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0592219769937188,0.0145469330576041,0.0622254941209007,0.0127734410956569,0,0,0,0.0204048958291797,0,0,0.0540618832679593,0,0,0,0,0,0,0,0
ETH,0,0,0.137748372011918,0.185052183940011,0,0,0,0.0743764064185016,0,0.230004256275008,0,0.0384205748285243,0,0,0,0,0,0,0,0
XRP,0,0.141186013211916,0,0,0,0,0,0.286711479729337,0,0,0,0.182346977991299,0,0,0,0,0,0,0,0
BCH,0,0.415974524779016,0,0,0.0151903242250163,0,0,0.0470428188744452,0,0.082715594951069,0,0.0487811435018154,0,0,0,0,0,0,0,0
EOS,0,0.0867525300927954,0.120972284848148,0.131431710612811,0,0,0,0.112118988178536,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.144687451722914,0,0,0,0,0.37110489887306,0,0.0808384747040984,0,0.0223328167591339,0,0,0,0,0,0,0,0
LTC,0,0.122928746196638,0.0710867514160015,0.0502940312657101,0,0,0,0,0,0.0582134015713532,0,0.0975637707143232,0,0,0,0,0,0,0,0
ADA,0,0.162447131083851,0.113367426397148,0,0,0.171302349846493,0,0,0,0.137409997858298,0,0,0,0.0311029322136101,0,0,0,0,0,0
XMR,0,0.374766583410296,0.0795340378456455,0.0127681171214657,0,0,0,0,0,0,0,0.0707180873860535,0,0.0207928395429068,0,0,0,0,0,0
TRX,0,0.105226427283009,0,0.0389259909657483,0,0,0,0.403701619866003,0,0,0,0.352998820627383,0,0,0,0,0,0,0,0
DASH,0,0,0.0766663166617269,0,0.185320623847173,0,0,0,0,0.0256249669184826,0,0.0897543040361778,0,0,0,0,0,0,0,0
MIOTA,0,0.0153606313215167,0.0583971502647308,0,0,0,0,0,0,0.145534494358348,0,0,0,0.200316467985784,0,0,0,0,0,0
BNB,0,0.0918625449802647,0.0169901507029425,0,0,0,0,0,0.0212769463876778,0.126081001353809,0,0.00267677718279509,0,0.00000000000000000010842021724855,0,0,0,0,0,0
NEO,0,0.0864367635573048,0.0355119258119605,0.00342413601979402,0,0,0,0.149512780137702,0,0,0,0.311658007327929,0,0,0,0,0,0,0,-0.00543200287739603
ETC,0,0.239158052867914,0.0313427620495358,0,0,0,0,0,0,0,0,0.153200241141501,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0090352119723936,0,0,0,0,0,0,0,0,0,0,-0.0465411321652393,0,0,0,0,0,-0.0457129985952811
CVIX.INDEX,0,0,0.00000352951203991989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192964849256419
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0543437833991414
VIX.INDEX,0,-0.000988902207117091,0,0,0,0,0,0,0,0.0000811402036200637,0,0,0,-0.000171250755090327,0,0,0,0,-2.21381638469883,0
