,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0264064768350254,0,0,0,0,0,-0.0160741119750074,0.00332759182019844,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0791436371444431,0,0,0,0.0676861187348787,0,-0.00684253416294804,0,0,0,0,0,0.0215847159296435
XRP,0,0,0,0,0,0,0,0,0,0.262803919397224,-0.0222045844584358,0,0,0,0,0,0,0
LTC,0.211049225454715,0,0,0,0,0,0,0,0,-0.0243757058748439,0.00272028873832597,0,-0.00435902077179485,0,0,0,0,0
ETC,0,0,0,0,0,0.0532871448854728,0,-0.159017115585882,0.128241292853427,0,0.00767919164158884,-0.0433894014892125,0,0,0,0,0,0
XMR,0,0.286095536016424,0,0,0,0,0,0.0101622240985531,-0.808915701701443,0.0386995315786357,-0.0793031511432886,-0.0576514452430154,0,0,0,0,0,-0.113030710320192
DASH,0,0,0,0,0,0.0715110826152983,0,0.0169016402354871,0,0.0595876267981931,-0.0342098345058846,-0.0280712030687349,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0.0360685448716317,-0.0504838325261721,0,0,0,0,0,0
DOGE,0,0,0.0597179815477112,0.0410797993074394,0.0602089957222598,-0.0649357596342511,0,0.0584845294710948,0,0,0.0120424041515419,0,0,0,0,0,0,0
XLM,0,0,0.539309448157181,-0.181356788390846,0.0196255497319609,0.10796556256041,0,0,0,0,0,-0.0181898615104255,0,0,0.091806713618423,0,0,0
NEO,0,0,0,0,0,-0.346983607176276,-0.129351746938509,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0.121111480694234,0,0,0,0,0.171155761847811,0,0,0.0105519378629769,-0.0437487000104682,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.0815964870741115,0,0,0,0,0,0,0,0.00561477864780174,0,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664555753422899
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,-0.00000020191350006921,0,0,0,0,0,0,-0.0591539126189443
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
