,BTC,XRP,ETH,EOS,BCH,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0593745704909969,0.0980141801715853,0.0233953177287986,0,0.00802954065328376,0,0,0.00850523181093927,0,0.0645811442015893,0.0423598726056455,0,0,0,0,0,0
XRP,0,0,0,0.138661226773478,0.0660900402915798,0.155555214325423,0,-0.0173115147277416,0.0221265507516865,0,0.0645125004778926,0,0.0882797436530245,0,0,0,0,0,0,0
ETH,0,0,0,0.130312069539218,0.152532970665343,0,0,0,0,0.0760948091929791,0,0,0,0.105196099974687,0,0,0,0,0,0
EOS,0,0,0,0,0.0283378886141369,0.203883502767603,0.0517463904138871,0,0,0.220917575526893,0,0,0,0.155567442908418,0,0,0,0,0,0
BCH,0,0,0.206434581600779,0.203690116885871,0,0,0,0.0518812361388227,0,0.295355016414558,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.109709519307254,0.0664126990266721,0,0,0,0,0.48754670406307,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.107323857478268,0,0,0,0,0,0.478202258674688,0.0322766993883674,0.127634356715921,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.112852358640222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0417066220748095,0,0,0,0,0.251198475024452,0.0576059799185339,0,0.176125113269385,0,0,0,0,0,0,0
ADA,0,0,0,0.121009535120161,0.255067743838965,0,0.150696261686686,0,0,0,0.036175453216822,0,0,0.0490737478507477,0,0,0,0,0,0
MIOTA,0,0,0,0.0567733491094505,0.150760532317746,0,0,0.0164191104487646,0.048868190702439,0,0,0.159494037487956,0,0.18153886976573,0,0,0,0,0,0
XMR,0,0,0,0.0575145876072805,0.128664671078655,0,0,0.00407591856742766,0,0,0.0644036497247583,0,0,0.278742912383946,0,0,0,0,0,0
BNB,0,0,0,0.127534077086607,0,0,0,0,0.127693095827336,0.147994805116873,0.0645985932725827,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.224176684568188,0.000289827418184203,0,0,0.00598105517890908,0,0.17040217555325,0,0.0331127413857945,0,0,0.141914644916456,0,0,0,0,0
XEM,0,0,0,0,0.145890692832506,0,0,0.00711016028717631,0,0,0,0.0101507581119845,0,0.193406846419736,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.00131868022174603,0,0,0,0,0,0,0,0,0,0,0,-0.0387378370255184
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192921467674122
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0.0000000224634607875339,0,0,0.000000222521204894568,0,0,0,0.000000388133450890827,0,0,0,0,-0.11263804508071
VIX.INDEX,0,0,0,0,0.00000228385716852252,0,0,0.000000999651796223635,0,0,0,-0.00000341531557649907,0,0,-0.00000109843654873249,0,0.354336989336587,0,-2.64649582009614,0
