,BTC,ETH,XRP,BCH,ADA,NEO,LTC,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0194658276346591,0,0,0,0.0112756380916485,0.0983379756903527,0,0.0657798068622982,0,0.0174269473293316,0.0392293770556648,0,0,0,0,0,0
ETH,0,0,0.0134159832433759,0,0,0.0790746252658679,0.221152400349187,0,0.0174518320781018,0,0,0,0,0.0297852022907079,0.140887034495723,0,0,0,0,0
XRP,0,0,0,0,0.0930320335121825,0,0,0,0.00417756277328883,0.117797109477533,0,0,0,0.050861841900563,0,0,0,0,0,0
BCH,0,0,0,0,0,0.00799140543127762,0.104752077232648,0,0.129835457784079,0.0452144315493255,0.0222200144277983,0,0,0,0.25158287722058,0,0,0,0,0
ADA,0,0,0.142504062216234,0,0,0,0,0.423223913936131,0.012254252409137,0.0719006329057719,0,0,0,0,0,0,0,0,0,0
NEO,0,0.282759910796891,0,0.141324060247206,0.0982860201238733,0,0,0.0714931324134284,0,0,0,0,0,0,0.061876040425537,0,0,0,0,0
LTC,0.104343181665004,0,0,0.148222499256953,0,0,0,0,0.0176486953945576,0.0969005876407742,0.0280417315360913,0,0,0,0.192831841501899,0,0,0,0,0
XLM,0,0,0.0744325107742769,0,0.358963505107851,0,0,0,0,0,0.217368417128167,0,0.00888233533060885,0,0,0,0,0,0,0
EOS,0,0.0422021530099029,0.100519720876251,0.169765190002261,0.0458162972093354,0,0.195887093542769,0.124092988426183,0,0,0,0,0.18977522939229,0.00858256641409397,0,0,0,0,0,0
XEM,0,0,0.0791546839732504,0.0813088038095086,0.116775967142868,0,0.0649229005964309,0.204127912774741,0.0202564387138131,0,0.0729524383263272,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0222804084264991,0,0,0.147505930105825,0,0,0,0,0.356175171219895,0,0,0,0,0
DASH,0,0,0,0.0987729325183664,0.0668310230477221,0,0.0836806242441061,0,0,0,0,0,0.0642217795131272,0.0824881434084353,0.155883507644555,0,0,0,0,0
XMR,0,0,0,0,0.0124445983217152,0.0901316223924777,0,0.124175035532905,0.0640314465690423,0,0.0238938915996878,0,0,0.00591508190988949,0.239038860879468,0,0,0,0,0
TRX,0.137867990912357,0,0,0.182706887753779,0.0623953062951352,0,0.054787652118971,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0.0738342256450828,0.0513707516358395,0,0.0269675290455553,0,0,0.0884275261067958,0,0.248754394889259,0.0443352520964368,0.0190152306917492,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0.00555698391085113,0,0,0,0,0.00284946757344253,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,-0.0030850536505206,0,-0.00269324713866802,0,0,0,0,0,0,0,0,0.00382074835186518,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0.0000000495629040923017,0,0,0,0.00000000995786720075825,0.00000000652370617372485,0,0,-0.0000000530271328939174,0,0,0,0,0,0,-0.015973103752437
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
