,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0,0.138518336398768,0,0.131879867168684,0.00968546069404181,0,0.154326955206353,0,0,0,0,0,0,0,0
ETH,0,0,0.0936200631226739,0.121496676955361,0.0419179323903547,0,0,0,0.224264140337912,0.0357634234278585,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.011618903041461,0.0198732412391951,0,0.0177467330576824,0.125707491672831,0,0.106500365352439,0,0.119518161779673,0,0.0104240267545205,0.0651370593328624,0,0,0,0,0
BCH,0,0,0.0668723047888498,0,0,0,0,0,0.204089179973602,0,0,0.0369975786283782,0.293953657191382,0,0,0,0,0,0,0
EOS,0,0,0.245846210689805,0,0,0,0,0,0,0,0.131101345923651,0,0,0,0.0935402184819348,0,0,0,0,0
LTC,0,0,0,0.112092279608271,0.054620975175189,0,0,0,0.114262444885844,0,0.00765233207560506,0.154432857294242,0,0,0.0647627372460145,0,0,0,0,0
ADA,0,0,0.162396167825989,0,0.0586855782125102,0,0,0.315096476628885,0,0.0983014694991254,0,0,0,0.0832033399878112,0,0,0,0,0,0
XLM,0,0,0.179989349837451,0,0,0,0.119337554574449,0,0,0.118602305222395,0,0.135642877581726,0,0.0601716716962864,0,0,0,0,0,0
MIOTA,0,0,0.0957688066433883,0.113485507866784,0,0,0,0,0,0.245239426433261,0.032233930438891,0.0888586597424392,0.140690921455556,0,0.104139377390803,0,0,0,0,0
NEO,0,0,0,0,0.0397258213043161,0,0,0.211691363100106,0.407847398963309,0,0,0.0661399821682344,0,0,0.055184073468592,0,0,0,0,0
TRX,0,0,0,0.397408323182255,0,0,0,0,0.0811836444622212,0.0349552850647006,0,0.0949134372304588,0.122724401008285,0.0262686312069032,0.0326737574649833,0,0,0,0,0
XMR,0,0,0.0933078917356585,0.0850832754888436,0,0,0,0.207236646945481,0.000000000000000000216840434497101,0.014213663667561,0,0,0.307798324939479,0,0,0,0,0,0,0
DASH,0,0,0,0.201476774280604,0,0,0,0.140973065895865,0.0647515844760085,0,0.0461154967276349,0.140531468110218,0,0,0,0,0,0,0,0
XEM,0,0.0985374183258472,0,0,0,0,0.153862369015095,0.161643935679464,0.139011369528771,0,0.0561686754166994,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.139590291070079,0,0.00608242844777076,0.242353295732811,0.1469995949478,0.105527276593907,0.0571442400561967,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0364262909187998,0,0,0,0,-0.0247681075839162,-0.0301653065663012,0,0,0,0,0,0,0,0,-0.0287517528834392
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100857321336411
VIX.INDEX,0,0,0,0,-0.00596125016368888,0,0.0135095782613271,-0.00434384571908971,0,0,0,0.0373721079420134,0,0,0,0,0,0,-3.54622386288305,0
