,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0100865225933443,0.140221621121977,0.348661050825848,0.0400598431259009,0,0.0490204900896558,0,0,0,0,0,0
XRP,0.321040124858021,0,0.0394599814951677,0,0,0.276956638812556,0,0.0293331742891809,0,0,0,0,0.0115933385452188
LTC,0.548489081546013,0,0,0.00000000000000000173472347597681,0,0,0.0246901736037135,0.0108839098391604,0,0,0,0,0
DOGE,0.389291492637802,0,0.148364406833167,0,0.0442066968565165,0,0,0.00389121151521506,0,0,0,0,0
DASH,0.647009595940135,0,0.0762314872940511,0.0819911816520771,0,0,0,0.0106340253044942,0,0,0,0,0
XLM,0.0158367509993663,0.755805016228722,0,0.146110545296084,0,0,0,0,0,0,0,0,-0.0488132814890279
XMR,0.70339841858542,0,0.0670009999708902,0,0,-0.102364159527929,0,-0.00650844565307686,0,0,0,0,0
DGB,0.627133433242291,0,0,0,0.022573232865749,0,0,0,0,0.253210468803239,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388274386833061
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0878929535740268
VIX.INDEX,0,0,0,0,0.00000000300852236356605,0,-0.0000000257309397057038,-0.0000000153624421622825,0,0,0,-5.92231755273707,0
