,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00826527864444938,0,0.413512019030838,0,0,0.0473111642526038,0.0380447596504113,0,0,0,0,0,0,0,0
ETH,0.252146300986742,0,0.072473629406631,0,-0.0823097912632127,0,0.0652360291397123,0,0,0,0.373791277033445,0,-0.158434656277137,0,0,0.0324184004627356
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.551497056552006,0,0,0,0,0,0.00318735907830864,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0979991120785866,0.116852098193096,0,-0.00552916754361069,0,0,0,0,0.0779057856522608,0,0,0,0,0,0
XEM,0.428041870818116,0.011511848595891,0,0,-0.0186055996475079,0,0,0,0,0.320076080913572,0,0,0,0,0,0
XMR,0.506896803972146,0,0,0,-0.00122317401625476,0,0,0,0.0319914500639984,0,0.180265547931593,0,0,0,0,-0.0650189918390961
DOGE,0.353291250887285,0.0171376206646384,0,0,-0.00685766683895218,0,0.0436668035385137,0.00000000000000000010842021724855,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0.192967040172077,0,0,0,0,0,0,0,0,0
DGB,0,0.157442395807032,0,0.204513177499795,0.000000000000000000867361737988404,0,0.0691427512017253,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0148964865596276,0,0,0,0,0,0,0,0,0,0,-0.0679988399670112
CVIX.INDEX,0,-0.000000722533206124809,0,0,-0.0181935777134151,0,0,0,-0.00000157303300766735,0,0,0,0,0,0,0.231250077828392
DXY.INDEX,0,0,0,0,0,0,0.000000152186882742325,0,0,0,0,0,0.0311450615027873,0,0,0
SPX.INDEX,0,0,0,0,-0.0000000418222940543548,0,0,0,0,0,-0.0000000738026019565385,0,0,0,0,-0.0440786433575349
VIX.INDEX,0,0,0,0,0.000000948175845177807,0,0,0,0,0.000000512619960746512,0,0,0.445936363524668,0,0,0
